19	2	66	-7.516636	5.067429	6.827476	6.978875	-10.557336	-5.830358	-9.242354
20	1	100	-3.612803	3.229970	5.322499	6.224019	-13.263387	-6.912666	-14.252396
21	3	64	7.862142	1.476266	-2.310195	-9.633576	9.113638	9.141452	7.226848
21	3	27	-1.711656	3.245827	2.124772	7.051665	-9.109545	-3.428652	-6.025440
21	3	9	-5.487576	5.676522	8.549423	7.291754	-10.060266	-3.428656	-6.025442
22	3	45	6.849297	-0.143945	-4.317087	-9.892724	8.646662	6.734537	6.404020
22	3	17	-4.390712	4.850641	6.653954	6.587784	-1.817197	-3.822236	-11.186434
22	3	38	6.501053	-0.143927	-2.412788	-9.122590	3.204594	1.080190	-5.273567
23	2	83	-6.870488	8.294893	5.599731	6.120235	-16.759985	-7.252123	-11.665592
23	2	17	6.961912	3.825202	-3.993662	-10.134782	10.493474	4.543495	4.604988
24	2	92	-11.032861	6.620250	8.774589	5.848943	-14.902034	-1.926825	-8.844800
24	2	8	5.417177	5.999937	-3.476028	-13.611097	4.923587	5.667872	5.358581
25	2	84	-12.935778	6.397938	5.968540	6.858939	-12.603546	-5.472174	-9.288704
25	2	16	3.702334	0.218381	-3.056254	-10.310437	10.693437	4.762412	7.451633
26	2	58	5.994871	5.853747	-5.793232	-7.162937	5.399033	5.868264	7.769433
26	2	42	-9.598645	6.353522	6.797221	6.312503	-8.461310	-0.714870	-5.343187
27	3	45	2.177748	4.704500	-6.780722	-4.589842	4.051788	2.374845	-3.186400
27	3	29	-9.143719	6.071134	3.470058	5.529947	-10.721605	-3.346530	-8.302479
27	3	26	8.576510	-0.194070	-8.807471	-8.569017	11.856938	8.022174	4.757008
28	2	75	-6.195593	8.103910	8.161508	6.700942	-20.210621	-2.153992	-8.930715
28	2	25	6.364350	2.225651	-3.035110	-9.172008	9.083034	6.132737	6.363492
29	1	100	-7.981203	4.967569	8.271657	7.240485	-16.339461	-9.535712	-12.559271
30	2	96	-11.386649	6.916521	8.613829	4.651214	-12.250649	-4.555343	-13.132223
30	2	4	6.135341	5.796936	0.166844	-11.154167	6.514920	6.976617	5.692330
31	2	91	6.867758	-1.683900	-3.866087	-8.902747	10.254022	4.962537	6.705243
31	2	9	-6.563935	3.591204	6.427960	6.630538	-10.082100	-4.268842	-5.704352
32	2	26	-5.998026	9.429506	5.646141	6.219671	-25.634476	-2.818318	-4.551627
32	2	74	-2.984688	9.429504	5.646133	6.207505	-19.390745	0.869695	4.448553
33	2	36	-7.401677	6.213375	8.166254	7.820763	-15.157278	-3.182053	-10.701211
33	2	64	7.855118	0.401372	-4.062212	-7.023729	9.513497	7.919025	6.404790
34	2	92	-12.705591	7.176277	5.807479	7.365907	-11.853993	0.097988	-10.843470
34	2	8	1.216113	6.599593	0.444012	-3.447849	6.496645	7.212123	5.265511
35	2	95	8.898154	-1.804359	-5.391261	-9.270105	9.961861	6.236583	8.113304
35	2	5	-4.652577	4.450661	5.018387	6.748653	-10.157064	-4.026755	-6.939662
36	2	73	-7.905566	6.677371	8.846099	6.574471	-15.472086	-3.006512	-10.103324
36	2	27	9.227074	0.442900	-1.382234	-9.320199	7.512319	8.352477	8.109855
37	3	8	2.929186	2.616700	-3.675149	-9.758823	3.547531	1.696398	-6.935850
37	3	78	2.886201	2.635388	-1.985065	-4.194298	-2.444896	1.695966	-6.936162
37	3	14	-2.508714	6.358927	3.917105	6.266994	-17.132678	-3.650964	-14.752636
38	2	68	6.360778	3.169760	-6.091482	-11.108243	9.619554	4.762850	7.008428
38	2	32	-10.460898	6.688724	4.344926	6.890596	-14.282378	-7.036861	-4.265494
39	2	52	6.123487	-1.336853	-8.174587	-8.501176	10.775025	7.307413	6.577506
39	2	48	-7.163729	5.136695	3.314917	7.030180	-7.716518	-4.254023	-8.094130
40	1	100	-9.773818	8.246958	5.328935	7.377250	-14.548306	-5.567960	-14.662038
41	2	84	-14.023672	5.546348	8.901762	7.875698	-14.036234	-5.716283	-9.680194
41	2	16	3.071593	0.922803	0.962335	-5.013180	9.311731	7.090251	9.052108
42	3	82	-7.555706	6.219510	5.966441	6.390946	-18.604177	-2.600801	-9.981324
42	3	15	7.038979	-0.283113	-5.892303	-9.380511	6.474433	5.988559	6.492135
42	3	3	6.396683	-0.283111	-5.573927	-6.165967	2.484164	2.509157	0.404821
43	2	34	5.738265	1.978307	-6.529213	-6.017514	9.491074	8.493961	7.274500
43	2	66	-8.487056	7.380968	6.115279	7.825206	-16.208802	-3.705341	-7.558640
44	2	67	-11.259830	6.794103	7.391922	6.219205	-19.198140	-2.508810	-9.124030
44	2	33	5.597016	0.531841	-5.726338	-8.840194	10.773845	6.580770	6.586816
45	2	52	-9.370595	5.518595	7.477945	6.240080	-9.661392	-4.621203	-13.552640
45	2	48	4.317193	2.410668	-1.556188	-9.882784	11.555356	7.216965	3.735947
46	6	34	-10.241822	4.937975	5.530278	4.585662	-8.540305	2.648947	-0.794951
