Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,Stress_Fibers,SNAI2,SNAI1,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,MCL_1,LEF1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4,ApicalBasal_Pol,AMOT
SMAC,-0.2076932015108838,-0.24655472031985998,-0.3239482200647249,-0.26666666666666666,-0.5064876240473505,0.08288781073823512,-0.6314365845332093,-0.2,-0.4087360769546834,-0.192101763065267,0.49400067729376496,-0.4057692594028167,0.3112880340971891,0.21680678777634094,-0.38563458183314797,-0.40616737388999413,-0.16268300784559506,-0.7882178988326849,0.35498053519954864,0.31632453567937435,0.192101763065267,0.13885659565005262,-0.5072412043803823,-0.15985119998496894,0.2636363636363636,-0.5493022337139984,0.08824200618244056,-0.26666666666666666,0.13893715753725552,0.40273703795850874,0.43950779633959164,0.2643494265421623,0.49400067729376496,0.026015836655396352,0.3789537411377698,-0.0021136218026534884,0.32060621846798815,0.15528811320266842,0.4324703536798255,-0.1950054285973662,0.2678944427455825,0.06493263451044907,0.18859905773231161,-0.13144063306809922,0.8644144312535079,0.7976401179941003,0.8894433966826248,0.2818778610759348,0.4875913805872167,0.4875913805872167,0.47551790630349106,-0.4775899644971213,-0.5161746235452738,0.5208885734860644,0.5208885734860644,0.7981308411214953,-0.2528658469378635,0.3615373016368212,0.2
pRB,0.42117447570500854,0.3195290851862749,0.309893769738731,0.24617283950617286,0.47371252267723285,-0.302862566983072,0.37041258528942933,0.17333333333333334,0.4857284835705098,0.40909560884787516,-0.1956477721976609,0.5397454243051919,-0.5925269854971377,-0.30140545062347995,0.5425981537390963,0.6050129822993334,0.4727685115504401,0.21707071416859908,-0.5649987152083585,-0.30738816738816743,-0.40909560884787516,0.02468936482827231,0.4139173515834614,0.22716391884572618,-0.2447619047619048,0.19118467110613557,-0.592252673369822,0.24617283950617286,-0.11557333603181667,-0.4003354032254565,-0.4312868898582198,-0.2980291417907381,-0.1956477721976609,-0.6206115947947356,-0.6207183382509723,-0.3345202345484617,-0.6625899894864556,-0.3495037727477421,-0.4378524886415164,0.4845038198541169,-0.5428152835604958,-0.5736851104425587,-0.647389587370634,0.17706077447251564,-0.2063953032080806,-0.19933333333333333,-0.20763461140753608,0.3918002335099365,-0.17382691995469363,-0.17382691995469363,-0.12887635471789285,-0.01576400024206875,9.689062454883021e-4,-0.1988767430143044,-0.1988767430143044,-0.20804661289944965,0.49644363799030744,-0.35877775809054235,-0.17333333333333334
Plk1,0.23439045875048414,0.23230577160680443,0.2086913086913087,0.16363636363636364,-0.06369616020058683,-0.06089581762112732,0.28942573692045614,0.1,0.23094327958367353,0.2711684636709601,-0.2760685178393009,0.16658431056597128,0.057533715233455254,0.2787304844715308,0.06860948335436963,0.06619194776851162,0.17883081581700325,0.3179645424623826,-0.015554048139690108,-0.20616509926854754,-0.2711684636709601,-0.2181407873894543,-0.013328351392133448,0.26557338533195285,-0.16363636363636364,0.27222955838219287,0.08612369027555744,0.16363636363636364,-0.1295438559084837,-0.25410015617981635,-0.2661469053673665,0.1378216894518351,-0.2760685178393009,-0.02760624225948769,-0.017196392072766,-0.12710519015686142,0.09296885175660306,-0.17474431725352255,0.12230714278477886,0.14656227550934303,0.12041813147891485,0.08938730904202195,0.04648468589297568,0.15156623883361695,-0.3144188230410092,-0.31562626532717064,-0.326872300669264,0.0059706861249136664,-0.25524003957665065,-0.25524003957665065,-0.2506721749094592,0.25016688763405714,0.2863575097616631,-0.2786030638740863,-0.2786030638740863,-0.3301211407923154,0.21723055665827945,-0.23468220953470725,-0.1
pAPC,0.35220314466216784,0.33301289855778954,0.3168783422459893,0.26875,0.42556686816972517,-0.18173555294264998,0.3819694598613535,0.2,0.33862911799206696,0.38304510797410285,-0.23115061949401414,0.33666494142687803,-0.43909813694359984,-0.09798699856052971,0.3758073121752327,0.22368450600610962,0.29276452048305934,0.231897212132174,-0.09968654942576274,-0.3115530303030303,-0.38304510797410285,-0.253677557724982,0.26505669884450606,0.36002442698801873,-0.26666666666666666,0.22723673709328293,-0.437709210810711,0.26875,0.3787521648397148,-0.36140266193120674,-0.37355503471933815,0.13503249053935906,-0.23115061949401414,-0.22087063431400264,-0.10415409355370701,-0.391775849347722,-0.27999438504288066,-0.2515259965724273,-0.5081441507563056,0.3086171348871828,-0.5059460737990416,-0.43130817840399593,-0.38361565736829323,0.21538987611108573,-0.24551992188923735,-0.22713341774799095,-0.2440538286899392,0.46560328066833845,-0.21486396224864465,-0.21486396224864465,-0.10167767656919671,0.19439126607072546,0.21393050404700528,-0.23333562527912188,-0.23333562527912188,-0.23473184952880938,0.33128080714240943,-0.34128276003276004,-0.2
p27Kip1,0.3769310599636734,0.2861856339647254,0.26594152046783626,0.21155555555555558,0.44548206096442894,-0.2962942889044248,0.3235036582288763,0.15555555555555556,0.49574703920396945,0.3632706929487991,-0.15687691116486083,0.7180555705173158,-0.5634748364248247,-0.3379129068726833,0.6190917862923762,0.6807741793174823,0.5220299786130685,0.23492489585166929,-0.5498228882685916,-0.26112752685146096,-0.3632706929487991,0.03499389975502358,0.39749811652644884,0.18123605528408665,-0.2077294685990338,0.15180853365346456,-0.6647692738991485,0.21155555555555558,-0.08650228920220333,-0.35570346641235345,-0.39165704391690737,-0.2949216776982363,-0.15687691116486083,-0.7027826161235934,-0.6022449446579039,-0.4121219236860387,-0.6414027986507189,-0.33292629304328447,-0.502560375785974,0.4591196011335195,-0.5081285571541689,-0.6391727561390873,-0.624526749828631,0.17301255359689444,-0.16099679589461105,-0.15010519501537464,-0.15901104743267744,0.46099039202743153,-0.1478533830457439,-0.1478533830457439,-0.09990918674705306,-0.035137730384198984,-0.02404323555716315,-0.1609086486412802,-0.1609086486412802,-0.15544267053701016,0.5217830057183804,-0.3113932016654886,-0.15555555555555556
p21,-0.6210095504228449,-0.68646067425026,-0.4482603297729348,-0.37275012569130217,0.46712306555016203,-0.2500501289972743,-0.566513326702524,-0.2897435897435897,-0.45846023052908036,-0.6222696359730676,-0.047612109015719925,0.5358831223373157,-0.48713000279754926,-0.16903406649332323,0.5380745315582297,0.4015025614345443,-0.1691401306267198,-0.3720582477055068,-0.36533725819421403,0.4413047454884441,0.6222696359730676,0.8455582470501616,0.2041170366898762,-0.7369935573816333,0.36872410032715375,0.04272362061743202,-0.4856012656501331,-0.37275012569130217,-0.06351695918195818,0.5640511550541173,0.610546807322762,-0.08572326374705277,-0.047612109015719925,-0.41836410605779745,-0.6169133450012307,-0.3328716138436635,-0.44957584101812725,-0.3449968228996182,-0.4319540289652998,0.4873264556633501,-0.4368716371480804,-0.4666395330270382,-0.44031902478889134,0.17406805860647687,-0.04429582588722536,-0.028030303030303027,-0.037497114782207276,0.3890670421449291,-0.05248688214372906,-0.05248688214372906,-2.2741072770514969e-4,0.0010624908080270657,0.007001072422578074,-0.050946453266966715,-0.050946453266966715,-0.02847222222222222,-0.411556903340045,0.506572321563995,0.2885714285714286
N_bcatenin_H,0.9998070753756236,0.8999609775132921,0.6,0.5,-0.28914728682170543,0.23745970341715023,0.8,0.4,0.9996990333875887,0.8999811676082862,0.17241379310344826,-0.39541284403669724,0.3936619718309859,0.24411196911196908,-0.39360730593607307,-0.3,0.7969845271595686,0.6,0.4960238568588469,-0.6,-0.8999811676082862,-0.8999883920020894,-0.3729997746224927,0.8999839865487009,-0.5,-0.1,0.4967963386727689,0.5,0.20257383966244724,-0.8,-0.8999739439142754,0.46549918447935446,0.17241379310344826,0.3940298507462686,0.49763593380614657,0.3601315789473684,0.3953488372093023,0.2372081991361446,0.2946666666666667,-0.26604774535809017,0.29633027522935784,0.4,0.39222222222222225,-0.16126126126126125,0.1,0,0,-0.29058823529411765,0.21850206283719453,0.21850206283719453,0.19389189189189188,-0.0765262379896526,-0.08906414300736068,0.22818302387267905,0.22818302387267905,0,0.999614177921665,-0.7,-0.4
N_bcatenin,0.8998447912500129,0.8999728150061166,0.6,0.5,-0.29161676646706586,0.2433918128654971,0.7,0.4,0.9997577063000234,0.7999869135640909,0.1764705882352941,-0.39675324675324675,0.3953246753246753,0.2506493506493507,-0.39539473684210524,-0.3,0.7972912238282628,0.6,0.49722222222222223,-0.6,-0.7999869135640909,-0.7999919302775984,-0.37792792792792795,0.7999888579387187,-0.5,-0.1,0.497682119205298,0.5,0.2211400189214759,-0.8,-0.8999818766707444,0.4708494793948176,0.1764705882352941,0.3957627118644068,0.49836065573770494,0.3662128946870864,0.3967320261437909,0.24557861493345365,0.2959595959595959,-0.27069597069597073,0.29716312056737587,0.4,0.3943887775551102,-0.17275551413482448,0.1,0,0,-0.2925925925925926,0.22721804511278196,0.22721804511278196,0.2036893203883495,-0.08058608058608059,-0.09166666666666666,0.23589087809036657,0.23589087809036657,0,0.8996895720679869,-0.7,-0.4
Myc,-0.36522262812043654,-0.25043529856657054,-0.24714770274437253,-0.1826086956521739,-0.4720935276404986,0.33377637145566164,-0.3248366032043449,-0.1,-0.4111628108249077,-0.35337781709339,0.24924847095481514,-0.5652898471954046,0.594992105177331,0.4007291717174419,-0.5571660740518136,-0.554070195362766,-0.3957648036080067,-0.25366371014529987,0.5304620488973456,0.2461123452872104,0.35337781709339,-0.1104433167038025,-0.43374339290820246,-0.16579893824937056,0.1826086956521739,-0.24423469685013197,0.6034352220110982,-0.1826086956521739,-0.005308807420743531,0.3403069041159156,0.37152314831492583,0.40346584035361327,0.24924847095481514,0.5678992279497247,0.6826512374527185,0.42300836046524604,0.6052127018030218,0.2514529086361799,0.5284554584953614,-0.37739273444451615,0.5382631816741276,0.5835943488329539,0.5676824900016019,-0.11566326901491615,0.26577741661315146,0.24733021183269224,0.2653329603439153,-0.4778193261376419,0.22946641174804863,0.22946641174804863,0.16967146086071794,-0.05967727135304046,-0.08826172888079656,0.25288657032561146,0.25288657032561146,0.2552239835028801,-0.41625388954051035,0.2992869484618136,0.1
Mst1_2,0.2856440001146791,0.10948996395870778,-0.8902439024390244,-0.8,0.4535358562372311,-0.33350491225920065,0.20147186147186144,-0.7,0.20063613573283196,0.23449398367873742,-0.2641541955742842,0.5635615088825943,-0.5726774806962668,-0.37808426693940317,0.5519745286978676,0.5188102839947187,0.3785216547279048,-0.3828282828282828,-0.6373745040955784,0.5714285714285714,-0.23449398367873742,0.20677339901477834,0.45032749464002625,0.061968541588020634,0.6,0.24745728087373972,-0.6800927730992802,-0.8,-0.07856933104075042,0.5525842578474157,-0.17687932796913503,-0.45204628730972757,-0.2641541955742842,-0.5603029000600404,-0.6756094583773548,-0.43797323585309017,-0.580565599561734,-0.2842688822264893,-0.49043545990310145,0.3833787482719878,-0.4992243065577645,-0.6326017099455664,-0.5554492214454798,0.14953300438599307,-0.2589082043931542,-0.17241379310344826,-0.22641379310344828,0.45559804349103183,-0.25199640368604814,-0.25199640368604814,-0.19829649269375693,0.07318701537826135,0.09835281710929464,-0.27401617800841216,-0.27401617800841216,-0.17419354838709677,0.33626294708776083,0.5805194805194805,0.5
miR_34,-0.8998011647485475,-0.7999584048250403,-0.6,-0.5,0.2886178861788618,-0.23619402985074628,-1,-0.4,-0.8996890719815006,-0.8999800029995499,-0.17142857142857143,0.3951219512195122,-0.3932835820895523,-0.24268817204301074,0.39323671497584545,0.3,-0.896950107654742,-0.6,-0.4957716701902749,0.6,0.8999800039992001,0.8999876482213439,0.3723118279569892,-0.7999829743764366,0.5,0.1,-0.49661426844014506,-0.5,-0.1990374938242237,0.8,0.899972274208082,-0.46485671191553546,-0.17142857142857143,-0.39367088607594936,-0.49748427672955975,-0.35916381329969366,-0.39504950495049507,-0.23547297297297298,-0.2943661971830986,0.2650734533416098,-0.2961904761904762,-0.4,-0.391740412979351,0.15909720299086125,-0.1,0,0,0.29024390243902437,-0.2167613636363636,-0.2167613636363636,-0.1920289855072464,0.07567965715816258,0.08852097130242825,-0.22653061224489796,-0.22653061224489796,0,-0.8996017058478765,0.7,0.4
miR_200,-0.9998942126848037,-0.9999809745772789,-0.6,-0.5,0.2917647058823529,-0.24344880091358964,-0.8,-0.4,-0.8998348268337597,-0.8999908231623384,-0.17575757575757575,0.3970326409495549,-0.3955719557195572,-0.25151335311572703,0.39580838323353296,0.3,-0.9981181295211737,-0.6,-0.4978118161925602,0.6,0.8999908231623384,0.999994337726314,0.38095641646489103,-0.9999921963400835,0.5,0.1,-0.4980295566502463,-0.5,-0.2285481488748277,0.8,0.8999872961427913,-0.47692535781490564,-0.17575757575757575,-0.3962121212121212,-0.4986728599867286,-0.36923265156304164,-0.39714285714285713,-0.24694083694083693,-0.29597989949748743,0.2715308398609742,-0.2973421926910299,-0.4,-0.3948529411764706,0.1742341180264431,-0.1,0,0,0.29298245614035084,-0.22826510721247564,-0.22826510721247564,-0.20496215306980656,0.08121193970250573,0.09190031152647975,-0.23619713619713617,-0.23619713619713617,0,-0.8997882514953917,0.7,0.4
MCL_1,0.14135743318540667,0.18603032666796876,0.2,0.1,0.5147173781110322,-0.052484824127837226,0.5721988104844735,0,0.38644432010646346,0.120844610743897,-0.8931367298553727,0.3983323259790989,-0.2955618161563055,-0.21221811783909877,0.3913221674529363,0.3803066194690966,0.08789844260886821,0.6,-0.35136107612015693,-0.2,-0.120844610743897,-0.058781403324074485,0.5351909644955497,0.07811255429550261,-0.1,0.7986798679867987,0.028591790178161297,0.1,-0.22924881796764493,-0.35013831258644534,-0.40593220338983055,-0.30760209339354844,-0.8931367298553727,0.1496334979068746,-0.359130505748126,0.05383097559227721,-0.29949669524830297,-0.15628496984365653,-0.4227400844717149,0.17611087337415268,-0.24792181132561733,0.062462462462462454,-0.11474853642561952,0.1708290554894471,-0.7992994746059544,-0.6,-0.7,-0.4528881343142803,-0.9700141585191515,-0.9700141585191515,-0.9680294741422216,0.9235102277466197,0.9393818313151725,-0.9789876865522509,-0.9789876865522509,-0.6,0.19157655093910075,-0.2833333333333333,0
LEF1,0.9997800035525379,0.8999540546749369,0.6,0.5,-0.2884297520661157,0.23590225563909772,0.8,0.4,0.9996566669774574,0.8999778381073744,0.17142857142857143,-0.3949367088607595,0.39311663479923514,0.24218579234972676,-0.3929824561403509,-0.3,0.7966628014335776,0.6,0.4954648526077097,-0.6,-0.8999778381073744,-0.899986333663603,-0.37105118326912495,0.899981152523206,-0.5,-0.1,0.49644218551461244,0.5,0.19624234624234624,-0.8,-0.899969326329512,0.4626766091051805,0.17142857142857143,0.3933993399339934,0.4973154362416107,0.35801337153772683,0.39481865284974094,0.23467510063254746,0.2942857142857143,-0.26461375661375663,0.296078431372549,0.4,0.39146341463414636,-0.15817671809256661,0.1,0,0,-0.29,0.216017316017316,0.216017316017316,0.19117647058823528,-0.075274122807017535,-0.08828828828828829,0.2260677466863034,0.2260677466863034,0,0.8995599324801111,-0.7,-0.4
Lats1_2,0.3137307919176755,0.14172823825120728,-0.9412242945958871,-0.8902439024390244,0.48376206679200695,-0.35043124840004947,0.24677457545933534,-0.8,0.23167704717767917,0.2721849428572999,-0.27401617800841216,0.5910754156006088,-0.6060634814019072,-0.409155060728598,0.5792292124857965,0.561836256236027,0.3965882588838589,-0.3364546564546564,-0.6639081403694103,0.5805194805194805,-0.2721849428572999,0.19463707316274176,0.46904385169616847,0.0892648458888635,0.5714285714285714,0.2641541955742842,-0.7148196768620924,-0.8902439024390244,-0.05932702596323466,0.513091207970065,-0.21623020799497064,-0.4609904507940913,-0.27401617800841216,-0.5906699679750351,-0.7091984200632943,-0.45121998358764587,-0.6181169246830479,-0.29008837985060587,-0.5297334972273325,0.4034209072557344,-0.5397923526660775,-0.6800927730992802,-0.5854559294783492,0.14604663508029728,-0.28019162685304727,-0.22641379310344828,-0.26414466381584933,0.48665790610143417,-0.2583909079088339,-0.2583909079088339,-0.19912725255631186,0.07354083499321494,0.09986062715341244,-0.28048087155304047,-0.28048087155304047,-0.23052542611635443,0.3678580391123007,0.5525842578474157,0.6
