Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
SNAI2,0.9991279064723851,0.9997414483128167,0.7,0.6,-0.38053061376225233,0.3090885925668534,0.7999796603274687,0.6,0.7,0.6,0.9986703205409613,0.899869220575501,0.7999882656653368,-0.4925856985077811,0.4889199150320067,0.3264933776393421,0.7,-0.48994751911704554,-0.3978165938864629,0.7877060327491179,0.7,0.5958267313446662,-0.7,-0.8998614133005335,-0.8999109101610154,-0.6,0.8998803651138972,-0.6,0.7,0.7,0.5948104908205978,0.7,0.2764104986936281,-0.8999762003926935,-0.9998202478376449,0.568961160895682,0.49164735670430365,0.5971157114310792,0.4510240497377317,0.4938003640092033,0.31610169735369353,0.38820854655132364,-0.3533163085860938,0.391998450766447,0.4989660265878878,0.48854535323717674,-0.21396972893866578,0.998321831066945,-0.8,-0.5
SNAI1,0.8979606030703104,0.8992650633164002,0.7,0.6,-0.37108628423369455,0.29334384821143095,0.9999287580147234,0.6,0.7,0.7,0.8969161772797276,0.8996199615200926,0.8999596204320615,-0.4861948791903938,0.4814820806367009,0.3098212361989237,0.8,-0.48178548056647436,-0.3951377633711507,0.8761747835470077,0.7,0.5909074022823433,-0.7,-0.8995966585148102,-0.9997383601106137,-0.7,0.8996513227533706,-0.6,0.8,0.7,0.5894534039967639,0.8,0.22473640828166594,-0.8999179094267342,-0.99948367527656,0.5462812818992957,0.4844517475400162,0.5936695145208121,0.4287742058118676,0.48807836256136383,0.2914986710697647,0.38190947725710755,-0.337807204564598,0.3865986577181208,0.49753810082063304,0.4799136995836103,-0.18424977025623887,0.8961131399327519,-0.8,-0.6
Rac1,0.5307248835192496,0.6012572675664897,0.8998033431661749,0.8,-0.4821511864361775,0.3598643372533869,0.7657747537292519,0.8,0.7998163452708907,0.8997883597883598,0.49754651381544274,0.7367097936037986,0.8889435713106033,-0.6072610372635548,0.6031849291151918,0.4026389122930448,0.8965626189296512,-0.593922885537341,-0.5485687975824547,0.13768276157415735,0.6995930824008139,0.7121504448127499,-0.6995930824008139,-0.627361862798672,-0.7480832942885869,-0.7994535519125683,0.6341590333906335,-0.7,0.9986497864227969,0.8997873094647287,0.7170004092801636,0.9985559654221626,0.15483171270146628,-0.7810500177775632,-0.7186263398501113,0.5666069412097035,0.6068866241548403,0.734187127086549,0.48394499150001175,0.6206757674277155,0.32988008491273046,0.51292388243445175,-0.4210477567202881,0.5233252007533089,0.6567571594626009,0.5939111626221493,-0.1825217401000808,0.4599544940666389,-0.7976382458655931,-0.8
pRB,0.42099935295006785,0.3190960909912956,-0.034416906876786516,-0.06942192192192193,0.4736066631404091,-0.3028643276232496,0.373857907000421,-0.06942192192192193,0.09702133494612232,-0.05992291379206285,0.48505812143747945,0.4037124490723378,0.04225346408351767,0.5395762182000412,-0.5925160142365699,-0.3013995767985816,0.011947750839415804,0.5425102517969282,0.6060767182063583,0.4727650662398684,0.2640433808794059,-0.5648464159148607,-0.2640433808794059,-0.40801071014844037,0.024741391133069935,0.021864460551040837,0.22695507662782424,-0.0018835960605277425,-0.02971036296679013,-0.022622709634784265,-0.592294458187254,-0.02705081207179359,-0.11542612383097164,-0.39228325590522817,-0.4301545594209353,-0.2979829407082547,-0.6219313061997648,-0.6205384604318076,-0.3345327147959432,-0.662571323409673,-0.34949271514303504,-0.4378112459559933,0.48449242515197033,-0.5428082995951657,-0.5737264355144409,-0.6474226188911258,0.17704516661938402,0.495960201067034,-0.30939857213623645,0.07392156862745096
Plk1,0.2322391695300075,0.22787889769060282,0.21101871101871103,0.16486486486486487,-0.06692774666976689,-0.06084641877520793,0.25904474113039255,0.16486486486486487,0.223698296836983,0.2016835016835017,0.21811919102139865,0.2708873159642652,0.2338659475287072,0.16049234458284217,0.058046584976717205,0.2789171057578876,0.21740054595692268,0.06486163680281455,0.03140009975449056,0.17822853310421988,0.20745658835546474,-0.011868758811761542,-0.20745658835546474,-0.2698102846803813,-0.22244263669171088,-0.19323529411764706,0.2651477080662877,-0.15806451612903225,0.23118177795878142,0.20558955528355774,0.0861400479658904,0.23012979029576539,-0.12823319471590008,-0.24481331662502992,-0.2539012743069585,0.13943380062695515,-0.03367281561227129,-0.012073841892572146,-0.12707141860348287,0.09443757075721679,-0.17444608356888197,0.12331383373935209,0.14619309867200014,0.1207136017433923,0.08927691226407877,0.0468377686719091,0.15134313824104406,0.21479635945066272,-0.23574487664375302,-0.1625
pAPC,0.3519870908237726,0.33255411254502076,0.29140892909986593,0.24449786324786324,0.42484099889436705,-0.18173350266766436,0.37085010541870533,0.24449786324786324,0.32324224076801394,0.26737751178954944,0.33621590126375195,0.3848375883310239,0.29774199332235446,0.3353065324869224,-0.4390179803702189,-0.09796279552126406,0.2801720762789885,0.37496995713358017,0.21764799774894997,0.2927111155187875,0.318580344386796,-0.09890575006761662,-0.318580344386796,-0.383308724065921,-0.25458568200194226,-0.25469700054227684,0.3601253192236038,-0.2366863905325444,0.2991115523936088,0.2818210560878489,-0.43773851770850614,0.2976299722088905,0.3790671179486348,-0.362044111470863,-0.3718474561253339,0.1353834961118528,-0.22301072646943484,-0.10320831502695667,-0.3917782688939792,-0.279756552409011,-0.2514863322143494,-0.5079661315368187,0.30856921383404184,-0.5059076934105483,-0.43134641573669397,-0.3835928282100026,0.21535125801728058,0.3311261657401484,-0.35302194711484375,-0.22956810631229238
PAK1,0.7335519283406653,0.7605612874805977,0.899781838014726,0.8,-0.46862396598272305,0.3470810758071764,0.8863252308374261,0.8,0.8997913406364111,0.6997714285714285,0.7110633282631729,0.8738637241744845,0.8927440052912697,-0.5903299289152948,0.5897934318679633,0.39097522187594375,0.7974616070204306,-0.5769998480992524,-0.5368022254736875,0.4779125053538259,0.5995375722543352,0.69653901624123,-0.5995375722543352,-0.7719678110375457,-0.8789380253640482,-0.7995337995337995,0.7751980018323162,-0.7,0.7987298589050112,0.7997615736141467,0.7037572834123503,0.7986595687331536,0.12211843351497689,-0.78816073908003,-0.868291348145237,0.5369235360502883,0.5903276082295296,0.7204673040308763,0.4635079186237784,0.6065633621847868,0.30883298841073925,0.5022724597514022,-0.4039007272300469,0.512428391765594,0.6477358087784675,0.5782333467246926,-0.16657374069788625,0.6916795728249301,-0.6977267070631884,-0.8
p27Kip1,0.37652402445023964,0.2852965711928048,-0.0753167923025066,-0.09795192743764172,0.4454777665543778,-0.2963004827015744,0.321356115002413,-0.09795192743764172,0.04538276588797531,-0.0927061259687687,0.49512822108596855,0.3542697986595931,0.008190667528501705,0.7180687233535903,-0.5634854162937651,-0.3379163126990212,-0.021834202469237386,0.6191204815787412,0.681827240615459,0.5219316504771553,0.20309788338334278,-0.5498731769665353,-0.20309788338334278,-0.36108149306076015,0.036132891377553426,0.05176196304715276,0.18057404147393932,0.028192640692640703,-0.069426335836607,-0.061789331579978166,-0.6647847968835244,-0.06639406923118005,-0.08648742931976675,-0.3415691400127864,-0.3897080451572187,-0.295109055579058,-0.7035861974357077,-0.6022457834746794,-0.41214972017855694,-0.6414338013068581,-0.3329408231555101,-0.5025541284888313,0.4591322314310825,-0.5081363263681482,-0.6391902328971144,-0.6245704535136054,0.17301612552335865,0.5205565570074807,-0.24160534606990997,0.09235345581802273
p21,-0.6243129681220652,-0.6908658833743881,-0.6778216176039036,-0.59004329004329,0.4683884321911943,-0.2508291977442006,-0.5777364584240945,-0.59004329004329,-0.5792470515688839,-0.6763577935602237,-0.46321089502670654,-0.6335066145748086,-0.8093092747880473,0.540671709186608,-0.48908115776526334,-0.16978805629746374,-0.7410268363727901,0.5417098192962564,0.4066321006912588,-0.17165934328354232,-0.46796422637539,-0.38838403980510955,0.46796422637539,0.6274542448572001,0.8502378752029216,0.6656068540562561,-0.7400501389663515,0.5834267638832912,-0.7585042962412439,-0.6765333235006199,-0.49047771929568035,-0.7574173095837685,-0.06631229547994118,0.5839137113143349,0.6158759365851342,-0.10232906238129816,-0.42435544363074007,-0.6359987451975347,-0.33502143305633764,-0.45516221570515636,-0.3465893479301768,-0.4329229767834624,0.48898476665968155,-0.43828113524586054,-0.47041431885566237,-0.44347780503602136,0.1747713226288825,-0.4200602628565001,0.5470082447388791,0.5869531878284613
N_bcatenin_H,0.9995645254722699,0.8999242961911522,0.6,0.5,-0.29251336898395724,0.24526315789473685,0.8,0.5,0.6,0.6,0.99932674180833,0.8999657797929677,0.8,-0.3975093399750934,0.3961579509071505,0.2539253539253539,0.7,-0.3964779874213836,-0.3,0.7921057584850775,0.6,0.49840891010342087,-0.6,-0.8999637582676453,-0.899977645513734,-0.6,0.8999687108886107,-0.5,0.7,0.6,0.49846575342465754,0.7,0.2386997663103858,-0.8,-0.8999497834410898,0.48188429752066114,0.39687010954616586,0.49900546991546496,0.3728722593236361,0.3976905311778291,0.25007869368483177,0.29633027522935784,-0.27330523357920616,0.2976608187134503,0.4,0.3956656346749226,-0.1787118837275577,0.9991501142140387,-0.7,-0.5
