Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,U_Kinetochores,Twist,TRIO,TGFb_secr,TAZ,Stress_Fibers,SNAI2,SNAI1,Replication,Rac1,PTEN_c,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_29c,miR_200,Merlin,Mad2,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Fast_Migration,f4N_DNA,Emi1,Ect2,Ecadherin_mRNA_H,Ecadherin_mRNA,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,ApicalBasal_Pol,AMOT,A_Kinetochores
TAZ,0.5786358686644855,0.5906565163641095,0.8,0.7,-0.33202182365483507,0.28305030928779534,0.23104399364837241,0.5984,0.7,0.4926852719886541,0.7,0.7,0.6739970235271107,0.5951663082437276,0.3268460331181323,0.79960513326752225,-0.6,0.5677381723158405,0.5054995150927772,0.3747986639497617,0.7,0.46636295890949037,0.7,-0.7,-0.5941758775983376,0.7,-0.5960107835107835,-0.6,-0.10489826840719393,0.49461658411300685,-0.7,0.9,0.9,0.6231466411059996,0.8,0.8,0.19707375137460575,-0.40003967077957003,0.07235892149777659,-0.6991434689507494,-0.5931386371265526,0.0771431616478704,0.3845532136367541,0.56677833825069,0.13495022463371603,0.26279069767441865,0.41564327950285607,-0.25491331810406953,0.4294971489304271,0.5527419632112773,0.4827991815689471,-0.07075638296479583,0.5669891105482913,0.30368138593352795,-0.8,-0.6,0.3021471554886602
Stress_Fibers,0.1834828725193231,0.2965878177691804,0.8989026063100137,0.8,-0.2984716772164188,0.24427988863706526,0.1938590590624188,0.39388504336860763,0.8,0.2077626369984053,0.7989730423620026,0.698821796759941,0.3099354702020772,0.4590880369961063,0.2796558716696066,0.7746144590654466,-0.7,0.600900074917877,0.48434548036704667,0.3781977725570777,0.6889677035862889,0.08632202111896894,0.6977715877437326,-0.6977715877437326,-0.31104783102033695,0.8,-0.341717269035292,-0.596734693877551,-0.10518374591081636,0.21349986782976474,-0.6,0.7958451874968514,0.8988309790550414,0.4964831372229958,0.7955564906374921,0.8991374663072775,0.1489993449296923,-0.38836071300535935,0.040764407713090554,-0.861542824730573,-0.3127850406534648,0.03865294265515917,0.3026081071379582,0.4873477416221669,0.05888093439862237,0.27561006693036033,0.4126236740204246,-0.1914934109073272,0.42577889525179946,0.45281201757082,0.441121158314777,-0.01852975217330924,0.18551847470231878,0.2792118104495161,-0.7939656886000599,-0.5,0.2670968690996483
SNAI2,0.9998927536336643,0.9999754209167998,0.7,0.6,-0.3370597135144549,0.30472190818357736,0.26304312171709976,0.8,0.6,0.89998262833318865,0.7,0.6,0.9998342369356855,0.8999888941333258,0.34671458083780354,0.8,-0.5,0.497930614729154,0.4824988882641117,0.3508656813908056,0.7,0.7982460836986813,0.7,-0.7,-0.8999882273302529,0.6,-0.8999927296521137,-0.6,-0.09250731707317073,0.8999898355906792,-0.6,0.7,0.7,0.5925476755882322,0.7,0.6,0.21864253393665162,-0.3755770782889427,0.13846959847814364,-0.9,-0.9999836917745387,0.13824884792626727,0.43651975911038,0.49840182648401826,0.2130705650135702,0.2,0.3806800445930881,-0.2953797105238313,0.3885462994355916,0.4971584699453552,0.47801165739641027,-0.138921156172821,0.9997906019352415,0.2824175824175824,-0.8,-0.5,0.31370594501170335
SNAI1,0.8997304403491972,0.8999136038014328,0.7,0.6,-0.31368978645919554,0.2776932632895154,0.23297360910882933,1,0.6,0.8999389095352035,0.7,0.7,0.8995836716401582,0.8999610882324329,0.32052125990279,0.9,-0.5,0.4950097847358121,0.4688556754573259,0.3345447987414144,0.8,0.8963776810201459,0.7,-0.7,-0.8999586862218549,0.6,-0.999974449057809,-0.7,-0.08925864578627717,0.8999642686993807,-0.6,0.8,0.7,0.5839188845893724,0.8,0.7,0.19416941694169418,-0.3615163687487447,0.09689272320851268,-0.9,-0.9999427193966444,0.1027027027027027,0.40227049027729056,0.49584569732937683,0.16763552676440505,0.2,0.3691430782126507,-0.26116456402528276,0.3790035877364645,0.4928571428571429,0.4605792682926829,-0.10172242936421531,0.8994743860610859,0.269811320754717,-0.8,-0.6,0.2896213701956755
Replication,0.01470934907896317,0.018114900655347287,0.01111111111111111,0,0.3318750271277415,-0.0322920713911475,0.08194796565803651,0.023538381819527724,0,0.019851056478681708,0.01111111111111111,0.01111111111111111,0.012567138363634562,0.022787166618467185,-0.05655234363968421,0.024243997051697525,0,-0.3146762680162938,-0.34382607759380757,-0.24567952407884808,0.020658849804578445,0.005490201474935958,0.01111111111111111,-0.01111111111111111,-0.022739801517841832,0,-0.02495927905859551,-0.01111111111111111,-0.006992974207824802,0.02312199234587549,0,0.02078853046594982,0.01111111111111111,-0.1518092035216204,0.02078853046594982,0.01111111111111111,0.196862083959721,0.06947885502714063,0.09933892513954805,-0.021933343444962228,-0.020585708681485883,0.10028997976128569,-0.019270949123098978,-0.15142920263320175,-0.0031772641743557976,0.042163127600589226,-0.25478028610837566,0.16421623654421166,0.00922081023730757,0.12079645459883533,-0.21503724588121872,0.06851867005185559,0.01228590369779763,0.04270224002873732,-0.02031356509884117,0,0.1044532594210477
Rac1,0.6667141693778774,0.6825085724124776,0.9,0.8,-0.35608932859381426,0.29803946743171356,0.24301090840514777,0.7951387648564723,0.8,0.6859605705333086,0.8,0.9,0.6588107549758514,0.7897337595297708,0.34156577914344355,0.8985058151948143,-0.7,0.6265253627076915,0.540036668883298,0.4141391091893231,0.899637516991391,0.52326679501500994,0.7,-0.7,-0.6880699202414087,0.8,-0.79134422144629,-0.8,-0.1171776742918333,0.6890551009095499,-0.7,0.9998664440734558,0.9,0.661145890127127,0.9998569384835478,0.9,0.20778901996564997,-0.4336423103092436,0.07654109827522647,-0.7973118575087759,-0.7864357502000325,0.07883034808187767,0.39121031744944695,0.623701754361938,0.13229337938646735,0.30661678746785126,0.45519623907840207,-0.26587241650713145,0.4703002472287162,0.5998763105125057,0.5093866989686698,-0.06303319400307009,0.648606447584603,0.3295145882440479,-0.7997277059223962,-0.8,0.32076718062627296
PTEN_c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plk1_H,0.26442533780852406,0.2579657833627504,0.17894736842105263,0.1,-0.21405397303349055,-0.061851164558132665,-0.14834546047298153,0.26624506645353196,0.1,0.27072283681214865,0.17777777777777776,0.18,0.24948126574084503,0.2900028452418279,-0.027169251312027666,0.27503737236716985,0,0.4610607037845451,0.32894253556868486,0.3270554597830858,0.2351922264469793,0.21654796696716155,0.17142857142857143,-0.17142857142857143,-0.2892571181940786,0.1,-0.30590019505099875,-0.17777777777777776,-0.1310508584751076,0.29296516752569174,-0.1,0.24190476190476193,0.17857142857142855,0.2153198656581584,0.2414147909967846,0.1826086956521739,-0.3114194230992217,-0.21949685107936912,0.3276760139340804,-0.25428149544137446,-0.27509260142128145,0.3260431167942094,-0.12762647606350844,0.22032820798812208,-0.20966855442295668,-0.022624099384322697,0.1612957434841041,0.16722797400620956,0.22794368869726228,0.05918590474361857,0.054028150385046506,0.185905819630588,0.2466393642989652,-0.02557050858371519,-0.22459930313588852,-0.1,0.07159884293045557
Plk1,0.25339502802862895,0.25309319117100965,0.23556149732620318,0.1764705882352941,-0.09786260600979493,-0.06018461981544432,-0.12408015642917573,0.27758581664432613,0.1764705882352941,0.2692018491686695,0.2345330739299611,0.23644936449364495,0.23575185429516754,0.2917908814812223,-0.07399446595881846,0.29173525590218113,-0.1,0.32688624127883426,0.0937152892226687,0.2987020199602582,0.2661538605533439,0.19363209562296918,0.21694915254237288,-0.21694915254237288,-0.290547016739382,0.1764705882352941,-0.31156796831560557,-0.2291850220264317,-0.10593853934643316,0.29586342891656725,-0.17142857142857143,0.279507038982081,0.2336158940397351,0.09443411149849879,0.27844366648794694,0.24183566170947873,-0.20073103234275091,-0.19953781184991198,0.10873183438377443,-0.26332517336490846,-0.27399924809792003,0.10841001293355768,-0.13451660422051273,0.09696334735238289,-0.18539910651568253,-0.072199730451449,0.1336191122327742,0.15564527441900702,0.12372227914541478,0.05987993619809255,0.038575671564624034,0.16453804648383324,0.23179735443161137,-0.07350544488438557,-0.2509026409144659,-0.18,0.04044599247050204
pAPC,0.3007125161253601,0.30596871536430703,0.3381231884057971,0.2791666666666667,0.31722320130956533,-0.150213644945565,-0.06620647234563103,0.34889200232097384,0.2791666666666667,0.3295883900671891,0.3386524822695035,0.3376123145503936,0.2693892731366016,0.35411864573353946,-0.24417434423898107,0.37385001297428044,-0.2,-0.4215485614894268,-0.3987053615875943,-0.0784134825620699,0.35639711596337237,0.20686406834713406,0.3132183908045977,-0.3132183908045977,-0.3514800529179866,0.2791666666666667,-0.3824983001667063,-0.3253385661378586,0.26475395197346757,0.36132929990661655,-0.2712230215827338,0.3781420490110623,0.3349059324439398,-0.4019457453591794,0.37632965421785203,0.34376680061598464,-0.27594316352398973,0.3863371045467142,0.21573583903295593,-0.33451084361103745,-0.3329990617053508,0.21756668770679247,-0.34316429981531404,-0.40205332089617174,-0.19027717516774822,-0.24652463536174146,-0.44692774272413177,0.21678341461140632,-0.4525944218502267,-0.3642833518470126,-0.3588397397324465,0.1581222333887296,0.26115885323790516,-0.24550018382989647,-0.34242731575388774,-0.28019801980198017,-0.3992637813662009
PAK1,0.7886283995289768,0.793745602844837,0.9,0.8,-0.3333566467274255,0.2775721508845572,0.2246505145864844,0.898096486873515,0.8,0.7950927146130498,0.9,0.7,0.78434297812052,0.8960239979567974,0.3171577498322483,0.8990236509562841,-0.7,0.6110186595708248,0.5174190795616433,0.3963450661432362,0.7997267759562842,0.7214997607099216,0.6,-0.6,-0.7957200735715497,0.8,-0.8969108814948145,-0.8,-0.11177403729864135,0.7962284085177904,-0.7,0.7998708427510495,0.8,0.6400284684780432,0.7998635045214127,0.8,0.18774539922885916,-0.4135703261283634,0.0631947984027652,-0.7983192712322411,-0.8951079247430114,0.06410840316939878,0.35951185040398403,0.607342485705921,0.10838329756099271,0.2909222597778851,0.4354710365298281,-0.24044212969818024,0.45024747614424043,0.5810222658094512,0.48456563195702396,-0.0488723617763411,0.7804735731927266,0.3084429209349099,-0.6997292724196278,-0.8,0.30041928893647174
N_bcatenin_H,0.999953001997415,0.9,0.6,0.5,-0.26500829187396346,0.24644012944983823,0.21572327044025155,0.8,0.5,0.9,0.6,0.6,0.9999273321827596,0.9,0.27746478873239433,0.8,-0.4,0.4,0.3936,0.2714975845410628,0.7,0.7989404544205105,0.6,-0.6,-0.9,0.5,-0.9,-0.6,-0.06476190476190476,0.9,-0.5,0.7,0.6,0.4975395430579965,0.7,0.6,0.16363636363636364,-0.2914285714285714,0.12278911564625852,-0.8,-0.9,0.11666666666666667,0.36445084969675134,0.4,0.18026315789473685,0.1,0.2932584269662921,-0.2374080882352941,0.29705882352941176,0.4,0.39152941176470585,-0.12708661417322836,0.9999082042455537,0.2,-0.7,-0.5,0.2504843433205677
