Source,ZEB1_H,ZEB1,Wee1,UbcH10,Twist,SNAI2,SNAI1,SMAC,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,N_bcatenin_H,Myc,miR_34,miR_200,Merlin,MCL_1,LEF1,IQGAP1_LeadingE,IAPs,Horizontal_Pol,FoxM1,Emi1,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,b_catenin_TCF4
MCL_1,0.04452551984877127,0.10961996761873039,0.5147173781110322,-0.052484824127837226,0.5708411505974855,0.31199544618514163,0.2199662075843368,-0.8931367298553727,0.5005984856280593,0.3983323259790989,-0.2955618161563055,-0.21221811783909877,0.44220922388309286,0.3913221674529363,0.3803066194690966,-0.12180964534332399,-0.3515225320910902,-0.07140795206971677,-0.04034516174116764,-0.3718238283455675,0.5351909644955497,0.037772612539798835,0.4459761622780317,0.7986798679867987,0.37370259481037926,0.02854272634371589,-0.22924881796764493,-0.30768347787484046,-0.8931367298553727,0.1496334979068746,-0.3592105939634656,0.05383097559227721,-0.29949669524830297,-0.15628496984365653,-0.4227400844717149,0.17611087337415268,-0.24792181132561733,0.062462462462462454,-0.11474853642561952,0.1708290554894471,-0.7992994746059544,-0.6,-0.7,-0.4528881343142803,-0.9700141585191515,-0.9700141585191515,-0.9680294741422216,0.9235102277466197,0.9393818313151725,-0.9789876865522509,-0.9789876865522509,-0.6,0.0632985619967856
LEF1,1,0.9,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0,0,0.8,0,-0.9,-0.9,-0.6,0,0.9,0.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
IQGAP1_LeadingE,0.5,0.5,0,0,0.6,0.5,0.6,0,0.8,0,0,0,0.7,0,0,0.5,0,-0.5,-0.6,-0.6,0,0.5,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
IAPs,0.11851874174839236,0.16476991375603595,0.5243735077338455,-0.09202144538103804,0.6442928539164635,0.3232442251719164,0.2522469965105894,-0.5208953217653918,0.5210803919334669,0.4245857014732338,-0.3291348017430763,-0.23219883770359057,0.48830919037679427,0.40276277705312474,0.43824164470835514,0.012855049206836406,-0.3737619473972103,-0.1352568141170994,-0.09663987029341312,-0.4524940427516338,0.5218163362933689,0.104043504608115,0.5034532502733576,0.49400067729376496,0.467302171136667,-0.10675991054469809,-0.1312768267114485,-0.2710578250556199,-0.5208953217653918,-0.04024417927535294,-0.4019196651765721,-0.005541550712433836,-0.3413065197230634,-0.15985994316556168,-0.453026040071088,0.20656761176957858,-0.28872316282680444,-0.088586096581574,-0.20490593844458843,0.13092164585851235,-0.9219473879390071,-0.8894433966826248,-0.9702090362717939,-0.2719268628857481,-0.5012369133903846,-0.5012369133903846,-0.487365588140637,0.48404506592763064,0.5246027678231343,-0.5373187847717098,-0.5373187847717098,-0.8912033234819828,0.14899990774140331
Horizontal_Pol,0.6,0.6,0,0,0.7,0.6,0.7,0,0.9,0,0,0,0.8,0,0,0.6,0,-0.6,-0.7,-0.7,0,0.6,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
FoxM1,-0.1630588318101331,-0.15613905252230992,-0.3649994714042994,0.2535563483083913,-0.18211289346385093,-0.1569322141476302,-0.19869566775230052,0.06574045122577653,-0.11814952420971372,-0.18506345541229918,0.4820081471082228,0.3753153207739613,-0.11201763065013022,-0.32075849614704494,-0.2397157320836211,-0.1274894886706141,0.08095952901290274,0.19799195967838565,0.06971823552074809,0.1019569471624266,-0.23539145886364615,-0.18065261313904943,-0.11278395144374524,-0.06429048351608854,-0.10238095238095238,0.3908578662066722,-0.3693632012818712,-0.06003422050809513,0.06574045122577653,0.24149283635093308,0.09355298377787209,0.3016961356918468,0.4041525830026142,0.08929958346413137,0.44023435025698143,-0.23403045788682983,0.4421685660664699,0.48742349684734776,0.4481184261961732,-0.038604960367604316,0.06907473113285863,0.06025573192239858,0.06708304115934637,-0.39146790682071186,0.06767907921568994,0.06767907921568994,0.008164225733113732,-0.022713819419549676,-0.03132644770429757,0.0664060746529728,0.0664060746529728,0.061629234252376416,-0.15480265392601128
Emi1,-0.37688851988946304,-0.35740305199231714,-0.41793654871558583,0.21120671471599003,-0.37931622390806935,-0.3548580525599541,-0.41218107172422214,0.03312386403393773,-0.323379575691926,-0.32503478481680864,0.4322572728373184,0.1560640977084693,-0.3055623893077318,-0.35820096463340056,-0.17251659637029984,-0.29784689544929094,0.07665998128035269,0.41019920201136556,0.30637726269079024,0.27917077175697863,-0.14329379835662204,-0.39170512911313876,-0.3084621212111701,-0.03053383137370184,-0.28100427838584396,0.4236069531439323,-0.25512212863871103,-0.14546280752351015,0.03312386403393773,0.1778888743155844,0.07930448621147189,0.2805243618992913,0.24001167459375927,0.26199868856372577,0.3992058985032547,-0.4209146245459011,0.397604112615723,0.4177920801196911,0.3626716953995749,-0.13723354075861768,0.031215581432485796,0.020678294841868495,0.02669074921163444,-0.3554776031603938,0.038094904472844644,0.038094904472844644,-0.012823561839330727,-0.005643824867989289,-0.00980715544119946,0.03448583539590909,0.03448583539590909,0.020893682008869097,-0.34748493824071774
E2F1,-0.42052748547305363,-0.31885403405420976,-0.4748602925580845,0.30287510786041477,-0.39264796669398,-0.48647785792636056,-0.4043014014487162,0.34953561765216445,-0.0819555117168432,-0.5414337246772609,0.5926796675993522,0.3014631980142275,-0.05204337860785087,-0.5437075826599647,-0.6093164044530764,-0.47189483975985347,0.5663783340853945,0.407863347574622,-0.02681056853309861,0.014726475562047559,-0.5170982192860291,-0.22607049158445086,-0.046817482337426566,-0.3438163344601906,-0.00927847208330263,0.5921070613918726,0.11646957478515822,0.29879755474998315,0.34953561765216445,0.6160989139478578,0.6222988631061392,0.33452421389971837,0.6629591179413094,0.34965126454439743,0.4382133035722622,-0.48464731152261764,0.5429038800618284,0.573499004727924,0.6473702799676391,-0.17719477938779685,0.3797871106033253,0.3706823613340467,0.38690501182718806,-0.38373912477352773,0.32125195544498136,0.32125195544498136,0.27744988728351855,-0.1417963853362538,-0.19463781915266937,0.35361258433745124,0.35361258433745124,0.38288173923390445,-0.4957449480257507
Cyto_C,-0.1039071929603907,-0.14191064635030587,-0.4917172789323968,0.0821875266472355,-0.593228957572942,-0.28332571542703716,-0.22151502070505985,0.48110279707213877,-0.4768397313288736,-0.3885492200700463,0.2972804781854884,0.2050608292413282,-0.4413818854232665,-0.3550365958703173,-0.38138294522139715,-0.0204314172321799,0.34121525631953736,0.113520428461657,0.08686509933261209,0.4041762339319007,-0.490098800648844,-0.08848122361811168,-0.45671478539362537,-0.44101815378314246,-0.4191054559475612,0.09996248811075732,0.1193813606399065,0.24901469061151782,0.48110279707213877,0.055881932453195594,0.3662439914134078,9.99740178678972e-4,0.3083141817561529,0.14792093195268513,0.42099365651310483,-0.18744401757757187,0.25197944603050704,0.07777791565709975,0.19263675141397016,-0.11994778969575823,0.8586305073766723,0.7969981238273921,0.8873494610062072,0.2619732711299261,0.47138770755670967,0.47138770755670967,0.4587774690091605,-0.4592130687124514,-0.4991182715451557,0.5051815321479697,0.5051815321479697,0.7976401179941003,-0.13362298707710368
CyclinE,-0.32193625941873955,-0.2803037111970207,-0.44276454957940414,0.3129352683427271,-0.303237428839435,-0.45563741632217186,-0.3352468107417968,0.02132943243812533,-0.07453536814473524,-0.6148061166147718,0.5634468472899972,0.38788804777800717,-0.05065868257747933,-0.5159578940463962,-0.5974355048634147,-0.3834424455222433,0.46069285112707775,0.34155613505373894,0.03199667398695629,0.02362285195858682,-0.29698874174340606,-0.18817682206235964,-0.04280793908477949,-0.01784848319242642,-0.015901464264635613,0.6686369993410749,-0.0715833344294342,0.20776693742083366,0.02132943243812533,0.5136437636711326,0.51566254868026,0.39413745006578743,0.5582833913463465,0.31252596855767856,0.5054997095435643,-0.44533089963613015,0.5125129927171727,0.6530275084338971,0.6274983273531485,-0.06098600905266523,0.017073489075660482,0.0075465127847975325,0.012160491770635815,-0.4586900517764394,0.03145364894198742,0.03145364894198742,-0.021263269683568155,0.04805398308674092,0.043219230650245806,0.023784422475177168,0.023784422475177168,0.007009051554506099,-0.48595787891409986
