52	2	11.349470	7.062896	6.572333	4.571470	9.367024	2.421174	7.072635	7.269468	4.549118	-0.276509	5.600182	7.417759	2.152331	-18.235841	-0.613911	9.370533	2.178152	-3.515598	6.961863	10.608513	6.596596	0.323012	-7.498950	-6.518888	-12.818074	-22.034186	-20.859325	-5.111414	-1.371514	4.089534	-7.473724	11.349470	7.062896	6.572333	4.571470	9.367024	2.421174	7.072635	7.269468	4.549118	-0.276509	5.600182	7.417759	2.152331	2.251839	-3.203145	9.370533	8.481056	2.393421	1.143490	-21.957903	-8.890682	5.893932	7.461372	8.219399	7.003418	11.501212	9.231682	6.234974	8.192629	-1.248211	4.878482
54	2	-7.482508	2.886934	0.890242	7.263520	7.252283	6.397022	4.066444	0.891319	-12.568293	6.373031	5.447413	2.205330	2.103029	-13.336058	5.205357	5.968069	-4.020766	0.777792	5.250250	9.605353	6.861128	-5.784502	-10.680238	-11.416712	-10.951087	-15.778925	-23.920413	-6.591515	-4.972518	7.661192	-8.935224	-7.482508	2.886935	0.890242	7.263520	7.252283	6.397022	4.066444	0.891319	-12.568293	6.373031	5.447413	2.205330	2.103029	0.647452	3.852904	5.968069	1.608989	6.553501	-0.699889	-13.460665	-9.000717	0.511188	6.312696	4.566955	9.412664	9.233686	10.665197	5.510551	7.120387	4.003866	4.326399
56	2	-1.785508	-1.243136	0.738832	3.785863	3.196931	5.002897	6.329466	4.986984	3.129581	4.133096	1.047104	3.485942	5.054311	-11.051707	5.966797	8.423620	-0.644685	4.715615	6.145213	8.869031	6.662419	-4.861156	-9.981575	-11.376527	-10.514639	-12.835320	-25.552280	-4.463054	-4.672686	6.390174	-10.065071	-1.785508	-1.243136	0.738832	3.785863	3.196931	5.002897	6.329466	4.986984	3.129581	4.133096	1.047104	3.485942	5.054311	4.823496	0.596366	8.423620	5.574252	7.040223	-1.102094	-26.085002	-14.944497	6.490055	6.111598	6.054089	8.223236	9.129014	10.105923	7.310707	7.336520	2.817088	4.748657
57	2	-8.805141	0.080730	-0.511053	6.529927	2.668306	3.359245	1.224540	1.270617	-0.745530	4.419354	3.583651	1.595719	2.025718	-14.523276	0.523177	5.502505	-3.808314	1.905186	5.725681	12.026426	9.281866	-3.071344	-7.971550	-9.739766	-11.736596	-18.205228	-20.564890	-1.998657	-4.804339	8.285125	-4.419987	3.324034	4.887430	5.737444	2.522298	2.484549	3.357842	7.462506	6.792514	5.961719	-2.871299	-2.514905	7.819217	0.036716	-14.523276	5.587717	5.502505	-3.808314	1.905186	5.725681	12.026426	9.281866	-3.071344	-7.971550	-9.739766	-11.736596	-18.205228	-20.564890	-1.998657	-4.804339	8.285125	-4.419987
58	2	-1.343514	-6.080967	-3.864177	2.044291	6.704748	6.729678	3.340429	0.996617	-10.837394	3.572623	2.194412	3.606270	5.659519	4.342953	0.391695	6.963827	5.340491	4.530646	3.133004	-17.590790	-12.253904	9.332427	5.486745	1.481023	8.654660	6.521387	9.841722	2.133360	3.270915	6.467793	-1.283792	-1.343514	-6.080967	-3.864177	2.044291	6.704748	6.729678	3.340429	0.996617	-10.837394	3.572623	2.194412	3.606270	5.659519	-2.935562	6.468692	6.963827	2.620422	-2.065409	8.567675	10.295050	5.876572	1.182776	-9.236795	-8.358560	-13.680288	-23.086095	-23.861436	-9.853813	-9.495088	6.858249	-8.898745
59	2	-14.616655	0.353274	1.693408	7.044305	8.141631	8.372745	-0.029089	-0.897675	-12.669713	6.281154	7.426339	0.202240	4.398227	5.953181	-3.226189	6.762900	4.919378	8.061781	-1.438903	-14.282256	-15.364072	7.708277	6.348771	7.070392	9.532728	9.986432	10.392606	5.170433	6.187814	4.440928	5.541594	-14.616655	0.353274	1.693408	7.044305	8.141631	8.372745	-0.029089	-0.897675	-12.669713	6.281154	7.426339	0.202240	4.398227	-8.971421	1.302236	6.762900	0.417466	3.431727	6.716700	10.165214	7.411855	-3.137735	-6.410501	-8.651138	-15.200917	-22.145667	-18.613506	-3.577994	-5.301264	7.041114	-5.987367
61	2	10.323722	6.327660	6.690168	-4.015174	1.624984	-1.016043	6.811439	2.878282	3.213779	-5.944076	1.901152	7.561676	3.424895	7.382507	0.809853	6.779713	2.845660	6.415896	0.031277	-13.353549	-11.383146	0.526092	4.984531	3.354426	6.542476	9.010390	9.345951	7.121717	5.258287	0.814687	6.621220	10.323722	6.327660	6.690168	-4.015174	1.624984	-1.016043	6.811439	2.878282	3.213779	-5.944076	1.901152	7.561676	3.424895	2.216125	4.426960	6.779713	2.785660	6.186917	3.888783	3.103227	-1.320936	0.431298	-5.890838	-6.158734	-6.263019	-15.139249	-15.989438	-3.504613	-6.436067	6.578384	-4.979192
65	2	6.237658	6.445282	6.018225	2.519809	3.700299	6.048405	4.546125	2.326055	4.663177	4.953003	2.575234	8.350914	2.987964	-8.501583	5.095281	7.333009	2.621260	1.234626	3.944487	10.469717	7.044694	-4.452362	-7.784122	-10.178090	-10.240894	-19.718447	-25.774171	-3.850743	-7.279810	6.107581	-8.196431	6.237658	6.445282	6.018225	2.519809	3.700299	6.048405	4.546125	2.326055	4.663177	4.953003	2.575234	8.350914	2.987964	5.098329	0.374863	7.333009	6.867227	7.774230	-7.616149	-22.113577	-8.799363	5.200678	6.743523	5.835868	8.488482	9.849446	9.960738	4.075133	4.801689	4.296823	4.071476
66	2	-2.703388	0.980568	-0.272875	6.326657	0.640370	-0.440531	-0.374502	0.800964	-6.202512	6.472556	1.718734	1.123574	6.029332	-12.176463	4.544747	9.449914	-2.753763	0.442763	4.934101	9.467116	7.293525	-3.699919	-10.643788	-11.275091	-16.217670	-9.882942	-19.715988	-0.805176	-6.304779	8.742516	-3.697709	-2.703388	0.980568	-0.272875	6.326657	0.640370	-0.440531	-0.374502	0.800964	-6.202512	6.472556	1.718734	1.123574	6.029332	2.568391	-1.668743	9.449914	3.055657	5.611582	-3.946456	-24.436682	-15.570720	5.919984	5.341624	6.578431	3.516671	9.132570	11.720114	8.031781	5.251624	3.445151	8.188137
71	2	-12.817327	-0.358843	0.873528	8.658026	7.152945	8.024353	-0.162940	-1.059642	-10.473215	7.724807	6.150125	1.148083	5.515226	-9.035955	0.890653	6.517063	1.417973	2.334526	6.777886	10.589613	8.669543	1.297002	-10.083716	-11.909070	-16.016297	-26.600818	-20.595970	0.484229	-4.315558	5.181879	-5.133116	-12.817327	-0.358843	0.873528	8.658026	7.152945	8.024353	-0.162940	-1.059642	-10.473215	7.724807	6.150125	1.148083	5.515226	8.733492	-5.065677	6.517063	7.384017	7.384713	-3.282997	-16.272918	-11.594123	6.640808	3.826334	5.363816	8.177909	6.436765	9.839454	8.948646	6.848491	-1.232244	6.104034
72	2	-6.729864	1.420919	1.396362	9.400562	3.613406	2.901093	-0.129502	0.479381	-6.292297	7.906629	6.771725	-2.326687	8.270407	-15.024524	1.404247	4.383150	-3.688840	-0.625420	6.480845	7.265846	5.482628	-0.014976	-10.428174	-13.860633	-11.268103	-25.426117	-22.104752	-4.382551	-5.576695	6.262240	-12.932953	2.537256	7.108454	6.127295	9.392048	3.613405	2.901092	5.401858	6.388710	0.030868	4.731223	6.771709	3.859960	8.263578	-15.024524	1.409434	4.383150	-3.688840	-0.625420	6.480845	7.265846	5.482628	-0.014976	-10.428174	-13.860633	-11.268103	-25.426117	-16.762129	-4.382551	-5.576695	6.262240	-12.932953
73	2	8.635707	9.009201	7.194428	0.566621	-0.885548	0.500715	7.859929	6.150991	3.194037	-3.918408	0.745992	6.061929	5.513333	-16.480721	5.607918	5.659763	-4.386842	5.491849	6.932529	10.727292	6.407069	-0.228399	-6.819852	-11.095715	-12.703049	-15.571638	-16.796259	-3.527704	-1.668711	8.566781	-12.941780	8.635707	9.009201	7.194428	0.566621	-0.885548	0.500715	7.859929	6.150991	3.194037	-3.918408	0.745992	6.061929	5.513333	2.075127	1.473097	5.659763	0.141616	6.970903	2.201966	-6.018609	-8.070297	4.279595	7.387987	6.316234	1.829819	8.954069	9.463257	6.875814	2.557190	2.469755	5.503274
74	2	-11.640551	0.285842	1.658265	7.883368	9.056664	9.728425	0.738117	2.228787	-8.356840	7.806232	7.484755	1.838012	8.808032	-17.425023	-0.815959	4.637771	-2.790492	3.373427	8.692822	9.411385	7.125107	-5.815104	-9.096423	-13.170425	-19.524709	-18.169228	-20.289357	-3.157782	-5.703370	7.744084	-8.228136	-11.640551	0.285842	1.658265	7.883368	9.056664	9.728425	0.738117	2.228787	-8.356840	7.806232	7.484755	1.838012	8.808032	6.500003	-2.986503	4.637771	3.722124	7.078172	-2.738811	-18.639520	-14.678127	4.395054	7.097705	5.151983	6.625900	11.848860	9.301259	6.771252	5.220105	1.456212	5.214092
75	2	4.845183	5.568277	5.328830	2.294076	2.425109	-2.236066	9.160112	4.797528	6.695150	0.195905	-0.990127	6.876297	8.525553	-14.016286	6.419367	7.136444	-0.205416	1.716061	6.871797	7.825672	6.000548	-5.603818	-9.108036	-11.268293	-12.479648	-19.381070	-27.396611	-4.440091	-5.807715	6.446791	-2.733294	4.845183	5.568277	5.328830	2.294076	2.425109	-2.236066	9.160112	4.797528	6.695150	0.195905	-0.990127	6.876297	8.525553	5.203161	1.992151	7.136444	5.854614	8.218889	-2.014577	-21.589296	-11.480713	5.271247	7.100913	4.643165	10.254486	10.660815	9.330217	5.670719	4.024363	4.973800	6.551681
76	2	6.642140	7.129342	8.424623	1.026756	-0.271336	3.680791	4.252573	7.893212	5.516325	-1.943852	-1.303401	5.753218	4.960563	-9.230381	6.454275	5.316297	-0.769040	0.600044	8.003984	7.698948	8.423896	-4.262438	-6.245830	-8.022022	-9.707624	-26.286256	-19.619177	-0.068766	-2.280830	6.260053	-5.306720	6.642140	7.129342	8.424623	1.026756	-0.271336	3.680791	4.252573	7.893212	5.516325	-1.943852	-1.303401	5.753218	4.960563	5.021824	0.927050	5.316297	5.197417	6.375493	-1.704559	-17.291883	-15.191630	7.221200	8.325886	5.529861	8.979389	10.795694	11.395810	7.867592	7.278254	1.607453	6.459300
