5	5	18	-1.069248	8.741310	1.393654	-3.658817	-5.850328	-5.243088	-16.138110	-5.312540	2.922273	2.505877	6.088570	1.785521	-3.095213	6.426052	6.429574	2.211715	-9.691656	6.182981
5	5	34	3.964879	8.185018	6.907731	6.356927	0.465937	-5.271791	-18.209589	1.998163	5.968239	2.505898	6.088628	1.785532	-3.095148	6.453601	6.429574	2.211774	-9.723432	6.183057
5	5	2	-1.069248	8.741310	1.393654	-3.658791	-5.850251	-7.599995	-17.321538	-5.312540	3.207996	9.039694	8.917411	2.174217	3.519651	6.453997	6.429574	5.924799	-12.129988	7.877538
6	3	26	4.050953	5.804438	0.606726	-5.099546	-4.456128	-8.478217	-17.049546	-2.353583	3.834108	6.614526	4.434257	6.972822	2.850909	0.889223	3.633525	6.649808	-7.563209	6.261103
6	3	67	3.974757	5.820637	0.606678	-5.313418	-16.063340	6.700657	8.024104	-2.504536	-10.984166	-19.505582	-12.250681	-11.620542	-12.754658	-11.608877	-6.943254	-9.424980	11.664306	-5.920120
6	3	7	8.188347	3.659200	6.155604	6.006143	2.137802	-8.478217	-17.061576	8.387985	5.580004	6.614564	4.434257	6.972822	2.868972	0.918095	3.633525	6.649939	-7.602974	6.261104
7	2	31	0.369862	4.562141	-2.417973	-3.591093	-1.516336	-11.163150	-14.923590	-6.243506	2.495681	10.211531	7.911331	7.641422	6.845217	4.767861	6.544379	5.041338	-16.806502	7.579622
7	2	69	-1.438771	4.562142	-2.421734	-3.875652	-9.709977	7.300276	8.743107	-6.861180	-16.142962	-20.480357	-8.535069	-7.530341	-12.549099	-7.052442	-5.539946	-8.690097	5.591509	2.268445
8	2	50	-0.489970	8.048778	2.271112	-3.501201	-10.023648	5.578431	9.944368	4.376135	-12.701159	-19.080580	-3.465431	-9.633302	-13.030262	-3.503095	-7.718800	-8.755258	10.420848	-5.075158
8	2	50	5.124679	2.296497	7.439585	6.200072	7.483709	-12.295558	-14.728775	5.234223	1.702200	5.395547	4.775729	8.057331	6.341292	5.687994	1.831419	0.149043	-14.358904	1.551091
9	2	33	1.236580	7.217969	4.220940	-2.135960	-13.088948	5.461612	8.488136	-1.043377	-12.509428	-10.465376	-9.251176	-10.356973	-13.791735	-0.332086	-5.450625	-7.480074	10.561676	-5.684792
9	2	67	6.948943	6.018495	7.436385	7.735770	2.441469	-12.101636	-18.704830	5.840679	6.074578	9.095487	6.880422	7.915758	6.340646	7.120117	6.850184	8.857396	-13.670769	6.639773
10	3	71	6.907328	0.112555	6.884139	4.979202	-0.767206	8.581343	10.740956	7.525254	-12.284425	-20.991214	-7.744050	-9.495928	-16.837698	-7.855954	-1.710749	-13.348998	11.006988	-2.289072
10	3	20	3.680261	5.857202	0.996007	-2.018459	-6.891354	8.581603	10.740956	0.077294	-17.261984	-20.991214	-7.744050	-9.495927	-16.837698	-7.856036	-1.710749	-13.349000	11.006988	-2.289072
10	3	9	7.120814	-0.195511	6.902113	7.787526	4.441184	-2.780871	-13.447937	7.531772	6.458327	9.998253	9.272721	8.677381	5.373894	2.800259	6.278637	5.223452	-11.194169	5.812370
11	2	79	5.389235	5.053724	-3.949072	0.418658	-21.406590	7.268907	7.562674	5.272668	-10.656905	-18.216514	-9.096003	-11.315685	-14.462714	0.742008	-6.306114	-11.372116	9.381110	-8.451982
11	2	21	5.389235	5.053724	-3.949072	0.418658	-9.578440	-11.174783	-16.513285	5.272669	6.868624	9.901942	5.566897	5.672219	6.392747	6.546910	5.827404	5.598821	-17.169181	3.138227
12	3	24	7.386355	0.759903	7.354876	7.347563	5.355231	-5.397240	-10.162347	8.426426	6.108887	11.181078	7.176655	6.640547	7.372371	7.194419	8.586696	7.852081	-17.137389	7.472725
12	3	66	7.074063	0.760490	7.354522	3.569728	-2.388679	9.004987	10.117488	8.340552	-13.163250	-16.902460	-11.614191	-10.549799	-13.776372	-3.692043	-3.014566	-10.687003	10.320676	-2.973193
12	3	10	0.929403	6.713452	2.080207	-4.310896	-14.036717	9.004987	10.117488	2.040929	-13.456243	-16.902460	-11.614191	-10.549799	-13.776372	-3.692614	-3.014578	-10.687003	10.320676	-2.973193
13	2	31	0.532515	4.779046	-1.101828	-5.780291	-4.783880	4.279950	9.220242	-1.913041	-13.094571	-17.701561	-7.654049	-5.707011	-11.609561	-4.128010	-6.694850	-8.528572	8.549027	-7.810443
13	2	69	6.935532	-0.206631	-1.098692	-1.261422	2.264534	-11.313653	-11.743513	1.633467	6.638534	10.252137	8.378825	9.021036	6.715321	4.847863	5.613189	6.873756	-19.445839	3.492498
14	2	65	2.370699	6.322555	1.733579	-3.685029	-22.392122	6.977826	9.235238	-5.771073	-14.759367	-17.964970	-8.778328	-9.024459	-11.449912	-4.292281	-10.550288	-10.538672	11.919208	-5.801397
14	2	35	2.370726	6.322555	1.733579	-3.685029	-10.521447	-6.584008	-14.072915	-5.771073	2.865175	3.630487	6.705165	7.968932	4.325689	7.618818	1.889147	5.025150	-12.265217	6.605310
15	3	52	2.254599	5.958138	-1.268116	-2.889011	-8.731398	5.786562	9.629764	-4.688199	-14.742165	-14.119178	-8.660776	-12.070696	-13.587025	-3.251773	-2.130719	-11.875489	8.654242	-3.011156
15	3	34	6.960048	-0.408048	-1.084108	1.944438	3.652982	-11.635076	-16.095250	1.342749	4.424188	11.486460	7.931224	4.378008	7.157069	7.454403	4.307739	5.704666	-18.472290	8.427098
15	3	14	6.960048	-0.408048	4.202392	6.002947	3.775675	-11.635076	-16.095250	4.553148	4.424188	11.486460	7.931224	4.378008	7.157069	7.454403	4.307739	5.704666	-18.472290	8.427098
16	2	14	1.678374	6.328788	-0.097132	-8.182511	-10.446057	5.145295	9.066643	-4.624591	-12.053206	-8.767349	-7.490803	-3.038055	-14.217693	-4.745880	-0.488831	-12.510685	10.354526	-5.800039
16	2	86	7.035486	0.121290	5.460744	3.606489	8.386091	-9.440244	-20.302545	3.877944	7.025783	9.054863	8.380091	7.018533	3.943333	4.259150	7.063541	6.317215	-13.536499	6.821484
17	2	83	1.080610	4.226297	6.587352	4.518421	-3.984207	8.215888	11.428477	0.407542	-9.225038	-18.029869	-11.871045	-11.007400	-16.603185	-2.668272	-3.226652	-10.877287	9.262548	-6.844215
17	2	17	7.241800	0.130691	7.303968	7.731621	8.375018	-7.293736	-19.327576	6.665181	6.980169	7.808150	5.709101	5.285287	6.395488	6.650574	7.643857	6.713943	-15.366344	6.010791
18	3	34	-0.498133	3.573990	-1.119937	1.074962	-2.214435	-3.404376	-20.052643	-3.087341	1.429700	10.643927	9.393873	6.958011	5.081587	6.855865	4.787184	9.129310	-14.232732	7.024498
18	3	27	4.008664	3.553940	5.381828	6.906840	4.269149	-6.409960	-20.150108	5.280696	6.328717	10.644161	9.393874	6.958011	5.081850	6.866690	4.789340	9.160199	-14.458296	7.024498
18	3	39	-1.080718	3.573990	-1.120149	-3.615375	-12.383080	7.522386	8.197998	-3.087371	-15.912194	-16.398977	-6.749430	1.245332	-13.996824	-2.038575	-7.094427	-7.778065	8.883237	-0.138794
19	3	35	2.451078	7.793696	-2.386211	-1.351342	-13.666511	7.443934	12.294059	-1.639416	-11.485904	-8.802011	-6.307405	-7.991226	-15.725513	-1.642339	-3.891084	-3.647924	10.058113	-1.068550
19	3	33	5.966330	2.243746	-0.727822	1.948723	2.084476	-11.402611	-13.602244	0.582739	5.495481	11.486009	6.977187	8.653564	7.102400	6.350659	7.646227	6.535662	-15.554570	5.725616
19	3	32	2.585739	7.793616	-2.348560	-0.139802	-2.928768	-9.979293	-13.470924	-1.628584	3.467698	11.486009	6.977187	8.653547	7.102398	6.326662	7.644502	6.535644	-15.554535	5.725615
20	3	94	3.326475	5.120338	1.957660	-3.916906	-6.915238	0.700032	10.419510	-0.663081	-8.372972	-15.963527	-12.590028	-12.661349	-10.254586	-2.770521	3.108459	-8.206788	10.247571	-7.433310
20	3	3	5.632460	1.212722	1.957745	0.906297	-0.175251	-14.633195	-7.809138	-0.478297	7.247239	9.332115	5.449094	4.489140	4.091654	6.030229	6.859431	3.006787	-15.183705	4.807987
20	3	3	7.071799	-0.697428	6.641756	6.398472	4.628428	-14.633355	-7.809856	5.748361	7.315709	9.332115	5.449514	4.489143	4.091654	6.030246	6.859433	3.006938	-15.183721	4.808100
21	3	32	3.861032	6.328525	3.734664	4.659808	-2.243531	-7.796988	-16.668079	1.050455	5.883987	11.819295	9.090409	8.750574	7.169380	8.176657	7.664464	6.061952	-15.936983	6.929658
21	3	24	1.488129	6.328934	-1.449587	-3.907644	-13.560240	9.426122	9.283047	-4.995998	-13.859945	-14.574629	-6.577031	-5.684534	-11.584584	-2.972919	-2.270283	-8.994371	9.576562	0.099007
21	3	44	1.557775	6.328934	0.348661	-0.400576	-3.588710	-7.785666	-16.632614	-4.936368	4.137074	11.819295	9.090408	8.750574	7.169380	8.089863	7.664464	6.059885	-15.936982	6.929653
22	3	76	0.503764	6.607956	4.305162	-5.844914	-11.740530	4.170348	10.002391	-0.936262	-13.353039	-16.622309	-8.697957	-7.935663	-13.388895	-7.276702	-7.540804	-9.840881	5.736232	-3.429670
22	3	19	7.051577	2.677484	8.451462	5.555718	7.295775	-9.880417	-16.329118	5.866401	4.885930	10.388498	6.069507	7.427185	4.752018	4.282829	4.931839	5.877585	-18.463727	6.451057
22	3	5	7.051577	2.677484	4.305222	-0.150070	1.609277	-9.880417	-16.329118	4.782025	4.885930	10.388498	6.069507	7.427185	4.752018	4.282829	4.931839	5.877585	-18.463727	6.451057
23	2	69	1.814899	6.383750	2.793488	-4.929599	-6.500889	4.974055	9.525253	-1.610801	-16.083532	-18.846261	-6.502055	-10.845017	-15.874635	-6.352226	-3.584788	-9.060252	10.324130	-4.286097
23	2	31	8.365830	0.764408	6.674759	3.914961	5.129963	-11.339289	-18.184418	4.845949	4.829545	7.463884	5.721062	4.333237	6.827488	5.619061	6.629376	7.295206	-7.716723	5.175202
24	3	22	6.215857	5.439825	7.223255	6.042280	5.805257	-5.264508	-12.875090	4.389748	5.640479	11.940438	7.544598	7.192325	6.438567	6.563108	5.854349	7.314197	-17.677011	3.636388
24	3	70	0.054732	7.438474	3.334906	-6.103641	-15.719313	7.949627	10.955349	0.569333	-15.636185	-13.647411	-8.112491	-5.503465	-16.583602	-5.591306	-5.683912	-7.377701	10.183426	-8.409770
24	3	8	0.239429	7.438176	3.334906	-6.099712	-4.097685	-3.477539	-10.028516	0.569335	-0.079049	11.940239	7.544597	7.192324	6.382610	5.554982	5.854345	5.757489	-12.372078	3.567502
25	3	27	0.916738	6.099585	1.267145	-2.260348	-1.489772	-1.930914	-11.322901	-4.820979	-0.699295	10.672379	6.580957	5.129244	5.747217	7.048251	7.785311	4.204675	-13.081307	8.304327
