46	3	6.440505	5.161001	5.619637	6.113780	3.569300	-13.308025	3.149877	7.560250	-1.558041	6.634764	4.156114	10.992907	6.351357	-8.402622	-4.709477	-6.340670	-11.047858	-19.183883	-16.022583	-2.391461	-2.264693	8.976795	-4.718176	2.452926	6.875930	4.013668	-3.153152	-0.995622	-13.308025	-3.016312	7.560250	-1.558041	6.634764	4.156114	10.992907	6.351357	-8.402622	-4.709477	-6.340670	-11.047858	-19.183883	-16.022583	-2.391461	-2.264693	8.976795	-4.718176	2.447007	6.876046	4.013631	-3.462323	-6.520970	5.742785	-3.020923	7.560250	4.468542	6.654222	-2.215806	-18.364249	-8.119193	1.308671	6.761619	7.154298	7.288770	11.059385	10.710091	4.791092	6.262305	4.193343	8.010387
51	3	0.399652	6.680814	3.894121	-1.582255	-2.780214	-9.225830	-2.234125	7.344002	2.017773	-0.063329	5.073274	10.464432	6.628213	-0.000243	-11.648186	-8.748848	-13.889113	-22.727553	-21.675744	-5.346194	-4.364904	4.692786	-4.864167	5.125458	6.633447	8.449879	5.756479	2.181560	-9.225830	6.660948	7.344002	2.017773	-0.063329	5.073274	10.464432	6.628213	-0.000243	-11.648186	-8.748848	-13.889113	-22.727553	-21.675744	-5.346194	-4.364904	4.692786	-4.864167	0.227199	6.680814	3.893883	-1.595258	-7.527879	5.116929	-2.234707	7.344002	7.273739	6.442582	-4.478475	-13.490418	-14.250713	7.498075	5.279117	7.036758	9.985303	6.849465	9.224725	6.553338	7.059332	1.919837	5.693589
54	3	3.135256	5.022356	7.622216	6.186683	4.224951	-10.389755	-0.682152	5.989285	-0.889739	3.227372	7.322534	10.062404	8.166085	-4.263039	-9.374375	-7.773594	-16.703591	-15.427805	-26.365962	-5.254353	-4.853155	6.037119	-7.290804	-1.339366	5.048926	7.190521	3.865619	-1.603603	5.888851	-1.524472	5.989285	4.819965	7.990132	-0.770022	-15.762332	-5.116846	7.499129	6.229040	8.639642	7.569355	12.290279	7.125678	6.470264	7.103722	-0.428387	6.671895	-1.339401	5.048926	1.528140	-5.564267	-4.843698	5.888851	-4.348490	5.989285	4.819965	7.990132	-0.770022	-15.762332	-5.116846	7.499129	6.229040	8.639642	7.569355	12.290279	7.125678	6.470264	7.103722	-0.428387	6.671895
55	3	1.531333	5.495873	-0.638436	-4.145153	-8.273232	6.715430	-3.442811	8.573122	8.068497	5.196359	1.317823	-14.480982	-10.986621	4.369341	3.150981	4.773616	3.202856	7.896591	7.793561	5.399231	5.817503	1.573815	7.023911	7.183411	-0.932891	5.758725	8.613913	5.016466	-8.866525	7.627325	8.573122	3.371788	-0.384713	5.787618	11.911870	6.634187	-1.886752	-13.631585	-8.873635	-10.837819	-20.434744	-24.751135	-4.189992	-4.366048	5.697549	-6.641136	1.531499	5.495873	-0.638436	-3.662618	-2.146131	-8.866525	-3.442811	8.573122	3.371788	-0.384713	5.787618	11.911870	6.634187	-1.886752	-13.631585	-8.873635	-10.837818	-20.434744	-24.751135	-4.189992	-4.366048	5.697549	-6.641136
64	3	5.137013	5.311338	7.096704	7.432380	4.622608	-9.572764	6.065126	8.107161	2.428116	1.128681	7.645358	9.236709	6.465212	-3.724813	-13.055546	-10.771635	-16.809735	-26.133583	-15.440242	-1.890019	-6.568993	5.938502	-5.366472	2.514183	7.007356	7.096685	7.419942	0.893778	-9.572764	1.933755	8.107161	2.428116	1.128681	7.645358	9.236709	6.465212	-3.724813	-13.055546	-10.771636	-16.809735	-26.133583	-15.440242	-1.890019	-6.568993	5.938502	-5.366472	0.754823	7.009651	5.559868	1.733556	-3.917064	6.651611	0.027985	8.107161	6.318593	5.729199	2.380742	-13.161293	-12.881162	5.321441	4.469241	1.261312	5.122934	5.563737	5.804768	7.001523	5.785539	1.528597	6.009458
65	3	-0.190402	7.894725	0.967326	2.097532	-0.980642	-7.783281	-5.983817	7.716047	1.961770	4.687031	7.589093	9.615283	8.041809	-3.224601	-5.554192	-8.379252	-3.808270	-16.834527	-24.403252	-4.245257	-1.148613	6.026843	-8.569994	5.836465	7.490471	5.120690	8.389921	5.540618	-7.783281	4.819245	7.716047	1.961770	4.687031	7.589093	9.615283	8.041809	-3.224601	-5.554192	-8.379252	-3.808270	-16.834527	-24.403252	-4.245257	-1.148613	6.026843	-8.569994	-0.235023	7.894725	0.595066	1.743712	-6.909330	4.533892	-6.063821	7.716047	5.861843	8.262517	-2.363867	-22.385100	-14.658732	5.757626	5.718780	7.724447	9.274586	9.377372	7.783214	5.973523	5.957378	1.504329	6.115498
69	3	0.360988	7.765873	1.973280	0.017500	-7.984848	6.743091	-2.834395	5.012353	6.486688	8.589865	-5.933774	-20.688640	-9.239038	7.788839	4.121319	8.376595	10.442185	8.118269	9.914831	8.168727	6.636991	-0.984728	6.928643	6.034734	4.027944	7.333610	6.426296	3.731325	-12.842087	5.915445	5.012353	-0.020133	5.791520	3.344619	7.932422	7.325607	-3.882444	-9.528946	-6.760608	-1.735245	-16.257703	-20.175343	-1.728063	2.110313	5.307818	-4.928293	0.361197	7.765840	1.973280	0.017500	-3.249644	-12.842087	-2.834395	5.012353	-0.020133	5.791520	3.344619	7.932422	7.325607	-3.882444	-9.528946	-6.760625	-1.735245	-16.257703	-20.175343	-1.728063	2.110313	5.307818	-4.928293
75	3	1.487675	6.495605	1.118944	1.920779	-3.768788	-12.297847	-0.500510	2.628408	-3.573648	0.612006	7.358513	10.483126	4.963266	-6.244358	-10.056802	-9.109170	-6.854517	-19.531736	-20.020663	-0.205884	0.467191	7.742692	-1.772996	1.487675	6.495605	1.111957	1.911941	-3.781642	-1.183800	-0.500868	2.628408	-3.273397	6.430254	2.120471	-6.395815	-4.460479	-6.152111	6.375488	4.693954	5.508776	8.621936	9.815816	8.493440	6.664436	2.597999	6.972937	1.487667	6.495606	0.648215	1.332928	-7.339574	2.830304	-0.516113	2.628408	3.005125	7.000449	-4.262787	-18.009209	-14.104040	3.427196	6.755545	6.405767	10.381959	10.395731	10.688486	8.493440	6.664436	2.597999	9.008134
79	3	2.926070	4.222499	0.891583	-5.815458	-4.761285	-17.085414	1.572615	6.023519	-4.961888	4.513226	3.853993	-3.016137	-0.771149	-3.983950	3.613156	4.143709	-3.894643	-1.616709	-5.398710	-3.275140	2.153497	9.032860	-9.146214	2.926070	4.222499	0.891583	-5.815458	-4.761285	-17.085466	1.572615	6.023519	-4.961888	4.513226	3.853993	6.980546	4.945695	-3.983950	-8.271783	-7.781260	-10.064477	-23.974256	-18.450294	-3.416358	-3.207319	9.034136	-9.147446	2.892859	4.231434	0.891583	-5.815640	-5.801792	-0.594944	1.538994	6.023519	-4.544718	6.809921	0.056241	-16.439367	-6.063250	-3.247928	5.313142	7.150263	0.911324	4.133112	8.826871	5.182491	7.408740	2.653712	4.651484
82	3	6.425618	-0.271404	9.007744	6.066991	9.712985	-9.333963	4.699887	4.456935	-7.955229	3.196072	7.707687	11.340276	5.189736	-3.969720	-8.419679	-10.965535	-16.085680	-25.763770	-22.345223	-2.681109	-6.447596	5.795226	-2.222663	6.425617	-0.271404	9.007047	6.000387	3.307349	2.194613	4.699887	4.456935	-2.049683	7.653419	0.714345	-10.259974	-5.199702	1.230496	6.074966	6.759079	1.881266	9.160557	9.161537	8.483906	5.202911	3.064593	7.855456	4.850123	-0.271041	2.817518	-2.088757	-2.200946	2.194613	-1.595445	4.456935	-2.049683	7.653419	0.714345	-10.259974	-5.199702	1.230496	6.074966	6.759079	1.881266	9.160557	9.161537	8.483906	5.202911	3.064593	7.855456
