42	2	5.907682	1.408080	6.286002	5.332521	5.681450	-13.677756	5.471803	6.419153	1.441372	-0.667405	6.361061	9.963626	5.905312	-8.263776	-7.429055	-5.385660	-16.354910	-25.157262	-24.435278	-8.041411	-5.373555	4.247462	-14.262746	4.811761	2.916974	3.002823	0.305738	0.494850	-13.677756	3.115662	6.419153	1.441372	-0.667405	6.361061	9.963626	5.905312	-8.263776	-7.429055	-5.385670	-16.371497	-25.157270	-24.435278	-8.041411	-5.373555	4.247462	-14.262746
47	2	2.585072	5.834158	3.261568	-4.441707	-8.164310	3.802740	-1.047448	4.909119	4.036852	5.623012	-1.169087	-18.170975	-8.728209	4.556279	6.528854	7.766212	5.441034	8.261145	9.986165	6.937360	6.527145	2.123385	8.221762	2.585437	5.834158	3.261568	-4.441701	-3.199221	-8.770490	-1.047076	4.909119	-2.368719	0.219420	7.721553	11.575856	6.663820	-4.100437	-10.444035	-7.080235	-17.628846	-23.428944	-21.403471	-5.448356	-5.902960	5.815466	-4.000576
48	2	7.969964	0.705459	7.443342	6.164718	6.929780	-15.406114	5.693010	2.781299	-5.259740	2.551164	4.693787	10.883163	9.109784	-5.803655	-11.911766	-11.760763	-10.216611	-14.900288	-23.946155	-3.374338	-4.331441	5.577251	-7.362884	7.928321	0.732072	2.997167	1.418356	3.465537	-15.406114	-0.636755	2.781299	-5.259740	2.551164	4.693787	10.883163	9.109784	-5.803655	-11.911766	-11.760763	-10.216611	-14.900376	-23.946155	-3.374339	-4.331441	5.577251	-7.362884
49	2	3.611072	6.154508	-1.486746	-1.887878	-3.080018	-10.512905	0.167098	7.555239	2.069063	-0.528539	8.800183	11.235730	1.832801	-4.316186	-3.492512	-10.321440	-14.523886	-12.916512	-22.118103	-1.420316	-7.076569	5.081423	-7.063421	3.611065	6.154508	-1.501382	-3.293703	-5.675275	7.034343	0.167093	7.555239	7.392084	3.814410	2.492472	-14.887185	-11.426554	5.677826	7.833318	6.101208	5.956250	8.225748	9.164901	6.734212	4.837780	1.394052	5.962258
50	2	-1.092350	8.389040	3.158607	-8.558334	-9.584754	6.400891	-2.086349	4.483932	3.675028	5.249822	2.606371	-22.014545	-9.244265	5.507547	3.657662	2.669928	-1.588638	5.648395	6.692205	4.511848	7.245776	1.101875	9.003728	-1.092350	8.389040	3.158607	-8.558334	-5.589743	-13.467214	-2.086349	4.483932	-2.607732	0.153951	6.660447	9.589135	8.083143	-6.260752	-8.456583	-7.017048	-17.842429	-27.695067	-22.608080	-6.439537	-2.886543	7.200794	-2.884557
53	2	-1.324368	6.090948	3.327561	-10.688289	-7.212797	-16.464113	-4.799419	4.767083	0.609505	2.363958	6.538919	7.499217	6.233005	-4.364889	-10.100109	-14.920253	-9.155450	-15.869931	-24.009136	-5.435950	-3.875736	7.782409	-12.839916	-1.660372	6.090949	3.327561	-10.688289	-12.600855	5.213503	-4.799419	4.767083	3.307585	7.294791	-2.749662	-20.404724	-13.432274	5.646170	4.223219	1.259887	11.110621	12.022997	8.827913	6.285133	6.088920	3.377065	3.952538
57	2	2.024218	8.935807	-1.114553	-5.512534	-9.000741	5.009636	-2.635384	6.365392	3.632504	5.002426	-2.873998	-26.272022	-15.718212	5.943072	6.339135	4.825166	8.405189	9.949315	9.127601	8.103009	7.301797	-0.428599	7.547740	2.024218	8.935807	-1.114273	-5.508745	-4.156455	-7.811755	-2.635371	6.365392	-2.546311	1.613836	3.647966	9.832508	6.500772	-3.439932	-4.522065	-4.848488	-18.191928	-25.963331	-19.367953	-3.262868	-4.211179	5.328855	-1.103891
58	2	-1.502296	6.471892	-0.078967	-4.243057	-8.688420	-12.398697	-4.613014	5.239703	-5.047923	0.057553	4.304804	10.432454	8.595767	1.070642	-6.007879	-10.929297	-13.689775	-18.560195	-18.880769	-3.840883	-6.479763	6.606655	-8.041408	-1.502296	6.471892	-0.080131	-4.390492	-10.875895	0.839953	-4.613581	5.239703	-3.171931	6.344518	0.013361	-15.991986	-6.025706	6.226294	7.722637	4.248401	4.813576	10.922922	8.963525	8.454600	3.653947	0.478709	6.763408
59	2	-1.596677	5.790488	1.326084	-7.442960	-4.886576	6.385597	-5.698039	6.001742	6.329817	7.448874	-3.400134	-16.486289	-18.013242	6.937059	4.921936	7.957830	11.050204	12.258303	8.122229	4.800034	5.931143	0.534203	6.525804	-1.473961	5.790488	1.326084	-4.449794	0.200898	-16.921770	-5.698039	6.001742	0.169572	1.436235	6.832306	9.605221	2.639116	2.838383	-6.558057	-10.632911	-11.795790	-12.280808	-24.145327	-3.958029	-7.194859	6.904477	-6.997230
60	2	3.569079	7.572679	0.967473	-5.149032	-8.652251	6.651315	5.126642	8.456106	6.275196	7.693353	-4.580084	-20.182018	-18.179274	4.674436	7.145964	8.206738	10.258955	7.548541	10.939487	6.356426	6.237971	-1.187975	6.131052	8.195505	4.825215	3.213733	1.480067	1.834624	-8.304929	7.211834	8.456106	0.856853	2.007596	6.717803	12.509206	4.441895	-2.937388	-5.916205	-9.076646	-8.024721	-22.763709	-22.137145	-5.284767	-6.216250	1.961425	-5.006256
61	2	0.548272	7.992777	2.191993	-7.845470	-6.135399	-14.874471	-2.846942	6.973803	-1.734643	1.319392	5.968296	10.088675	7.384451	-6.474693	-5.392710	-5.824641	-14.168757	-16.298754	-20.193794	-5.071679	-3.294842	6.617621	-8.764269	0.548272	7.992777	2.191993	-7.846340	-11.870780	6.845794	-2.846942	6.973803	3.949078	7.467733	-4.075323	-16.178253	-7.696293	2.208600	8.325977	7.343232	10.591186	11.583811	6.115133	5.934562	6.228568	2.837983	4.129463
62	2	5.480884	4.327495	7.704752	4.294817	1.847545	-14.160251	5.167039	6.720803	0.435963	-0.150470	7.640471	11.345398	6.786532	-3.846084	-10.410461	-6.940871	-14.714176	-22.971250	-20.449962	-6.400029	-2.227534	8.020911	-12.964576	0.691028	4.527453	3.149700	-2.423676	0.394864	-14.160251	0.820757	6.720803	0.435963	-0.150470	7.640471	11.345398	6.786532	-3.846084	-10.410461	-6.940871	-14.714176	-22.971250	-20.449962	-6.400029	-2.227534	8.020911	-12.964576
63	2	7.082839	2.497973	5.171080	5.595509	6.413491	-13.154201	6.544879	6.668502	0.666030	3.450872	2.129241	7.278282	3.495100	-2.693167	-7.030424	-12.756492	-9.461662	-16.346123	-20.293391	2.215540	-3.809941	7.135083	-6.855137	1.404594	6.887625	1.577335	-2.074897	-4.503980	5.751000	-2.191570	6.668502	5.899958	8.219207	-7.154494	-17.105517	-9.991018	4.699234	7.172530	5.690156	11.000943	9.927951	8.412515	7.014048	6.480419	0.738347	5.492639
