Source,ZEB1_H,ZEB1,Wee1,UbcH10,U_Kinetochores,Twist,SNAI2,SNAI1,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,Mad2,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,A_Kinetochores
Plk1_H,0.26442533780852406,0.2579657833627504,-0.21405397303349055,-0.061851164558132665,-0.14834546047298153,0.26624506645353196,0.24945133540844724,0.2900028452418279,-0.027169251312027666,0.27309983189811515,0.4610607037845451,0.32894253556868486,0.3270554597830858,0.23453453453453452,0.21653966287630447,-0.2892571181940786,-0.30590019505099875,-0.17777777777777776,-0.1310508584751076,0.29296516752569174,0.2351922264469793,0.17777777777777776,0.21531574307635798,-0.3114194230992217,-0.21949685107936912,0.3276760139340804,0.3260431167942094,-0.12762647606350844,0.22032820798812208,-0.20966855442295668,-0.022624099384322697,0.1612957434841041,0.16722797400620956,0.22794368869726228,0.05918590474361857,0.054028150385046506,0.185905819630588,0.2466393642989652,-0.02557050858371519,0.07159884293045557
Plk1,0.25338259199598717,0.25307819117350755,-0.09786260600979493,-0.06018461981544432,-0.12408015642917573,0.27758581664432613,0.23567135321847865,0.29177304943391763,-0.07399446595881846,0.28783320646085625,0.32688444727092875,0.09371456660421437,0.2987020199602582,0.26388954448902524,0.19361364661684005,-0.290547016739382,-0.31156796831560557,-0.22836322869955156,-0.10593853934643316,0.29586342891656725,0.2656135934550031,0.2291850220264317,0.09442267390967682,-0.20073103234275091,-0.19953781184991198,0.10873183438377443,0.10841001293355768,-0.13451758472338488,0.09695821515066239,-0.18539910651568253,-0.072199730451449,0.1336191122327742,0.15564527441900702,0.12372227914541478,0.059876453299497444,0.03857460033402303,0.16453804648383324,0.23178233907007603,-0.07350544488438557,0.04044599247050204
pAPC,0.3006636654251879,0.30589709393998976,0.3172239020469475,-0.1502139562160922,-0.06620675539936144,0.34887652321654883,0.26915328987964693,0.3540102747050171,-0.2441748637537126,0.3653514678496191,-0.4215573343223249,-0.3987090161193804,-0.07841416018110828,0.35076093441611045,0.20681350087286998,-0.35145473608286276,-0.3824797172619087,-0.32254533621276216,0.26475395197346757,0.36131158434256344,0.3543512658227848,0.3246835443037975,-0.40198026892429767,-0.27594316352398973,0.38633767947437336,0.2157354874796294,0.21756668770679247,-0.3431684995805332,-0.40207463921316206,-0.19027769119115595,-0.24652463536174146,-0.4469282696944929,0.21678409732371615,-0.4525957896837066,-0.364297534157617,-0.3588443937283349,0.15812249047840804,0.2610989813620249,-0.24550018382989647,-0.3992641311196977
PAK1,0.8,0.8,0,0,0,0.9,0.8,0.9,0,0.9,0,0,0,0.8,0.8,-0.8,-0.9,-0.8,0,0.8,0.8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
N_bcatenin_H,1,0.9,0,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
miR_34,-0.9,-0.8,0,0,0,-1,-0.9,-0.9,0,-0.9,0,0,0,-0.8,-0.9,0.9,0.9,0.7,0,-0.8,-0.8,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,0
miR_200,-1,-1,0,0,0,-0.8,-0.9,-0.9,0,-1,0,0,0,-0.9,-1,0.9,1,0.8,0,-1,-0.9,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,0,0
Merlin,-0.6,-0.6,0,0,0,-0.7,-0.6,-0.7,0,-0.8,0,0,0,-0.7,-0.6,0.6,0.7,0.6,0,-0.6,-0.8,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0,0
Mad2,-0.15586886999811803,-0.16395718186544234,-0.32586022907595563,-1.263003220051191e-4,0.05018137615686195,-0.19796113847837987,-0.13942742447976028,-0.20258303952685575,0.17911290785531345,-0.20711143631717088,0.40013820497572883,0.38220604458050345,0.10339359561288193,-0.19070723684210528,-0.09561833919183536,0.20162223685331507,0.2218591248918152,0.15789473684210525,-0.2475840001297783,-0.20620291491130943,-0.1917408906882591,-0.15789473684210525,0.38384107570964515,0.1758075261719981,-0.35886869999400156,-0.2194738352909312,-0.2212345659809687,0.32298627641829547,0.3815632097357191,0.08556807846687899,0.1800363741664079,0.4335887113027864,-0.20030785122480607,0.43557624537575174,0.3503799373832145,0.34211740887281417,-0.15430801373177597,-0.13619405507308882,0.18015205404862475,0.37361681569063043
LEF1,1,0.9,0,0,0,0.8,1,0.9,0,0.8,0,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
