Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,Stress_Fibers,SNAI2,SNAI1,pRB,Plk1,pAPC,p27Kip1,p21,N_bcatenin_H,N_bcatenin,Myc,Mst1_2,miR_34,miR_200,LEF1,Lats1_2,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
pRB,0.42115038822811773,0.3194541459546755,0.309893769738731,0.24617283950617286,0.47360275715049466,-0.3028620794404112,0.37704838742547375,0.17333333333333334,0.48522095206532845,0.4090854185303205,0.5395552279627962,-0.5925094422283947,-0.30139714361767933,0.5424950874229737,0.6060592812324739,0.47280222582459475,0.30738816738816743,-0.564820247858663,-0.30738816738816743,-0.4090854185303205,0.02414626144395233,0.22725274190954287,-0.2447619047619048,-0.5922956910129031,0.24617283950617286,-0.11541014834893784,-0.40010112705193246,-0.43103076400453133,-0.29791929156423336,-0.6219074094324871,-0.6205163271059503,-0.33452347953497047,-0.6625514884200547,-0.3494863066484687,-0.43780842736625436,0.4844861860767984,-0.5428033496303889,-0.5737185087652074,-0.6474104544064179,0.1770422717751167,0.49636939190093654,-0.35867930662867376,-0.17333333333333334
Plk1,0.23223336802665825,0.22785122817520378,0.20616509926854754,0.16363636363636364,-0.06692774666976689,-0.06084641877520793,0.2585577517564403,0.1,0.21811227399682642,0.2696341643650087,0.16049364676107994,0.058046108723349546,0.2789171057578876,0.06486259705209776,0.03140009975449056,0.1782246775509786,0.20339539978094195,-0.011920411441685017,-0.20339539978094195,-0.2696341643650087,-0.22231471832969413,0.26513227247452437,-0.16363636363636364,0.08613194884496714,0.16363636363636364,-0.12823399537042354,-0.2439594846524272,-0.2537762779095537,0.13941235140868688,-0.03367487034370085,-0.012111986485796335,-0.12707205034119057,0.09443443723587532,-0.17444608356888197,0.12331383373935209,0.14619309867200014,0.1207136017433923,0.08927406541400414,0.04683670398076062,0.15134313824104406,0.2147207065246059,-0.22758894816803873,-0.1
pAPC,0.35195676178961394,0.33246463495854817,0.3168783422459893,0.26875,0.42484148532070015,-0.18173369066018769,0.3700132714142721,0.2,0.3361793683875173,0.38295817699355594,0.33531399686935887,-0.439020640194505,-0.09796321918114494,0.3749754918699063,0.21765136659814086,0.29269676065707506,0.3115530303030303,-0.09905999051135697,-0.3115530303030303,-0.38295817699355594,-0.25428632527634437,0.36006216585040174,-0.26666666666666666,-0.43776411454238984,0.26875,0.37906377837094624,-0.360241873238731,-0.37158218221053435,0.13531812584610275,-0.22302209245296992,-0.10333212877349447,-0.3917812454816403,-0.2797723659190786,-0.25148706770649093,-0.5079664822797059,0.3085700413908852,-0.5059086945592589,-0.43136026190955923,-0.38359839234667326,0.2153516021542646,0.33095521554406415,-0.3408581662546919,-0.2
p27Kip1,0.3769257112284755,0.28616628320204873,0.26594152046783626,0.21155555555555558,0.4454676155753311,-0.2962942889044248,0.32654303044209976,0.15555555555555556,0.49558169773680855,0.3632706929487991,0.7180152029605638,-0.563469458140333,-0.3379102117233542,0.6190816900200274,0.6817864451876061,0.522053888869588,0.26112752685146096,-0.5497597077586477,-0.26112752685146096,-0.3632706929487991,0.03480220145654929,0.18125292280044128,-0.2077294685990338,-0.6647906334900905,0.21155555555555558,-0.08643488375284733,-0.35565168609133707,-0.39158473000564986,-0.29488152130637946,-0.7035272481419447,-0.6021767768539524,-0.4121237841323052,-0.6413899255311794,-0.3329224405099176,-0.5025471670750805,0.45911536953532234,-0.5081247051908424,-0.6391827396390036,-0.624540176974924,0.17300750202360732,0.5217666712206422,-0.3113932016654886,-0.15555555555555556
p21,-0.6210095504228449,-0.68646067425026,-0.4482603297729348,-0.37275012569130217,0.4671535233190537,-0.2500501289972743,-0.571598085301517,-0.2897435897435897,-0.4586138442604586,-0.6222696359730676,0.5359126871656248,-0.48713027780389717,-0.16903406649332323,0.5381044273616689,0.4025235617536225,-0.16914889785545667,-0.4413047454884441,-0.3653332571366065,0.4413047454884441,0.6222696359730676,0.8457146877152475,-0.7369935573816333,0.36872410032715375,-0.4856094818607839,-0.37275012569130217,-0.06349644872997523,0.5640511550541173,0.6106550006987711,-0.08571707870892616,-0.41878415126562973,-0.6169147233007395,-0.3328716138436635,-0.4495786408593676,-0.3449968228996182,-0.4319569395079027,0.4873264556633501,-0.4368716371480804,-0.4666395330270382,-0.44032616024415916,0.17406805860647687,-0.411556903340045,0.506572321563995,0.2885714285714286
N_bcatenin_H,0.9998070753756236,0.8999609775132921,0.6,0.5,-0.28914728682170543,0.23745970341715023,0.8,0.4,0.9996990333875887,0.8999811676082862,-0.39541284403669724,0.3936619718309859,0.24411196911196908,-0.39360730593607307,-0.3,0.7969845271595686,0.6,0.4960238568588469,-0.6,-0.8999811676082862,-0.8999883920020894,0.8999839865487009,-0.5,0.4967963386727689,0.5,0.20257383966244724,-0.8,-0.8999739439142754,0.46549918447935446,0.3940298507462686,0.49763593380614657,0.3601315789473684,0.3953488372093023,0.2372081991361446,0.2946666666666667,-0.26604774535809017,0.29633027522935784,0.4,0.39222222222222225,-0.16126126126126125,0.999614177921665,-0.7,-0.4
N_bcatenin,0.8998447912500129,0.8999728150061166,0.6,0.5,-0.29161676646706586,0.2433918128654971,0.7,0.4,0.9997577063000234,0.7999869135640909,-0.39675324675324675,0.3953246753246753,0.2506493506493507,-0.39539473684210524,-0.3,0.7972912238282628,0.6,0.49722222222222223,-0.6,-0.7999869135640909,-0.7999919302775984,0.7999888579387187,-0.5,0.497682119205298,0.5,0.2211400189214759,-0.8,-0.8999818766707444,0.4708494793948176,0.3957627118644068,0.49836065573770494,0.3662128946870864,0.3967320261437909,0.24557861493345365,0.2959595959595959,-0.27069597069597073,0.29716312056737587,0.4,0.3943887775551102,-0.17275551413482448,0.8996895720679869,-0.7,-0.4
Myc,-0.3651447529359656,-0.25020059239692544,-0.24714770274437253,-0.1826086956521739,-0.4715779427417049,0.3337754841771513,-0.3221800871053374,-0.1,-0.40944541752656577,-0.35335144720120315,-0.5645339348541791,0.5949397077399432,0.4007080831694447,-0.5566769771173417,-0.5535804785042397,-0.395839774005052,-0.2461123452872104,0.5299697756110484,0.2461123452872104,0.35335144720120315,-0.10953111726112456,-0.1660114036946628,0.1826086956521739,0.6035442294971862,-0.1826086956521739,-0.00571505042811705,0.3396027359874077,0.3703703319615819,0.4031728019635759,0.5709765691248746,0.6820872674929496,0.42301811020586244,0.6050853306711201,0.25141163941080413,0.5283149783418135,-0.37735089603776933,0.5382331850082046,0.583679580621066,0.567728669356961,-0.1156177725705079,-0.416065421030532,0.299037877202104,0.1
Mst1_2,0.2856440001146791,0.10948996395870778,-0.8902439024390244,-0.8,0.4533520779931237,-0.33350491225920065,0.1914860681114551,-0.7,0.20038340306081576,0.23449398367873742,0.5633327220766421,-0.5726688909732307,-0.37808426693940317,0.5517974800733629,0.5183528356229525,0.378555552069011,-0.5714285714285714,-0.6373151794850815,0.5714285714285714,-0.23449398367873742,0.20673851761154932,0.061968541588020634,0.6,-0.680118814337533,-0.8,-0.07850183742130427,0.5525842578474157,-0.1766949824256438,-0.45201022407692043,-0.5616504424354617,-0.6755491411514594,-0.43797323585309017,-0.5805425952412715,-0.2842688822264893,-0.4904165719334844,0.3833787482719878,-0.4992243065577645,-0.6326017099455664,-0.5554635448818988,0.14953300438599307,0.33626294708776083,0.5805194805194805,0.5
miR_34,-0.8998011647485475,-0.7999584048250403,-0.6,-0.5,0.2886178861788618,-0.23619402985074628,-1,-0.4,-0.8996890719815006,-0.8999800029995499,0.3951219512195122,-0.3932835820895523,-0.24268817204301074,0.39323671497584545,0.3,-0.896950107654742,-0.6,-0.4957716701902749,0.6,0.8999800039992001,0.8999876482213439,-0.7999829743764366,0.5,-0.49661426844014506,-0.5,-0.1990374938242237,0.8,0.899972274208082,-0.46485671191553546,-0.39367088607594936,-0.49748427672955975,-0.35916381329969366,-0.39504950495049507,-0.23547297297297298,-0.2943661971830986,0.2650734533416098,-0.2961904761904762,-0.4,-0.391740412979351,0.15909720299086125,-0.8996017058478765,0.7,0.4
