Source,ZEB1_H,ZEB1,YAP,WT1,Wee1,UbcH10,Twist,TRIO,TAZ,Stress_Fibers,SNAI2,SNAI1,Rac1,Plk1,pAPC,PAK1,N_bcatenin_H,N_bcatenin,Mst1_2,miR_34,miR_200,Merlin,LEF1,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,Ecadherin_mRNA,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ApicalBasal_Pol,AMOT
SNAI2,0.9998927536336643,0.9999754209167998,0.7,0.6,-0.3708686050791314,0.3060847936767396,0.8,0.6,0.7,0.6,0.9998342369356855,0.8999888941333258,0.8,0.482095273548624,0.3483614951356887,0.7,0.7982458838677402,0.7,-0.7,-0.8999882273302529,-0.8999927296521137,-0.6,0.8999898355906792,-0.6,0.7,0.7,0.5928268216250807,0.7,-0.38663449473989,-0.9,-0.9999836917745387,0.43898767145287537,0.4983852364475202,0.22228784904013965,0.38537735849056604,-0.30664320734496175,0.38937258859144064,0.4983852364475202,0.4792214321626086,-0.14941436663006724,0.9997906019352415,-0.8,-0.5
SNAI1,0.8997304403491972,0.8999136038014328,0.7,0.6,-0.3540964517902772,0.27983819042963815,1,0.6,0.7,0.7,0.8995836716401582,0.8999610882324329,0.9,0.46818323293846176,0.3307676972150656,0.8,0.8963764238658906,0.7,-0.7,-0.8999586862218549,-0.999974449057809,-0.7,0.8999642686993807,-0.6,0.8,0.7,0.5845838791470127,0.8,-0.37655966236091576,-0.9,-0.9999427193966444,0.4064331836324655,0.4957831325301205,0.17996320875482447,0.3757905395631419,-0.276978791583625,0.38052241875771287,0.4957831325301205,0.46306246196154455,-0.11471310957342835,0.8994743860610859,-0.8,-0.6
Rac1,0.6667549171923265,0.6824850555614781,0.9,0.8,-0.4202939275549117,0.30820114996108244,0.7951387648564723,0.8,0.8,0.9,0.6588218868743717,0.7897270662169363,0.8985058151948143,0.542421123796236,0.41017632801401077,0.899637516991391,0.521641137063531,0.7,-0.7,-0.688061137062952,-0.7913399737549104,-0.8,0.6890478409871796,-0.7,0.9998664440734558,0.9,0.6696890637578463,0.9998569384835478,-0.47279898495828576,-0.7973118575087759,-0.7864227555545699,0.40717859003482804,0.627385600316395,0.1587885560199179,0.475827728184279,-0.30478618089994897,0.48278188675509137,0.627385600316395,0.5251818110857256,-0.08596414152316348,0.6485503090869801,-0.7997277059223962,-0.8
Plk1,0.24831579861441017,0.24726555935873815,0.23333333333333334,0.175,-0.06554658146751649,-0.06150637134391031,0.2729022474905074,0.175,0.23230769230769233,0.23419416547106647,0.22935146877978227,0.2880040128487982,0.28815006619165173,0.05566625932227519,0.2777838419591091,0.26239930454940597,0.18264105887742751,0.21300345224395856,-0.21300345224395856,-0.2866107448802337,-0.3086079916570964,-0.22627450980392155,0.2923833840523893,-0.16923076923076924,0.2767191119836895,0.2311932313052134,0.0828228196805515,0.2755779774815103,-0.11145173739115552,-0.25815059884878705,-0.2695053397238882,-0.12743621072632227,0.08609565384470587,-0.17363787627171887,0.12220362946839496,0.14770725440292826,0.11914927437818083,0.08609565384470587,0.04042073895535518,0.15090746898351728,0.22479170202480142,-0.24626432180917596,-0.17894736842105263
pAPC,0.3509136047653319,0.3502021820856963,0.3487346432585358,0.2829787234042553,0.42420759015761655,-0.1790063511226883,0.38227782216177303,0.2829787234042553,0.3492135193998548,0.3482707215265355,0.3188358630981064,0.3962259172706404,0.40563015249091483,-0.4426000282730633,-0.10196490796950339,0.37824356076068605,0.25389025225563494,0.3271538542655278,-0.3271538542655278,-0.3935911955613981,-0.42302125939953317,-0.337650340421703,0.40320210751589275,-0.2762962962962963,0.39759152457597685,0.34596947979133147,-0.44794906904720666,0.395993620820955,0.49867747903687254,-0.36932702742609563,-0.3762469121215283,-0.38411955497137096,-0.4435650496778282,-0.23446901202088602,-0.5084309282645412,0.3052266754641063,-0.507539455786172,-0.4435650496778282,-0.4153974220275828,0.20642081911868781,0.30977138586716585,-0.3660179968045033,-0.28383838383838383
PAK1,0.7886929427322682,0.7937420594759799,0.9,0.8,-0.3982060545812772,0.2882231130455451,0.898096486873515,0.8,0.9,0.7,0.7844292228576718,0.8960228712049967,0.8990236509562841,0.520442575349529,0.39211176372842205,0.7997267759562842,0.7225016049184075,0.6,-0.6,-0.7957187766913324,-0.8969102624938744,-0.8,0.7962274001226488,-0.7,0.7998708427510495,0.8,0.649667261681787,0.7998635045214127,-0.45350550947280244,-0.7983192712322411,-0.8951059692006158,0.37649409286961044,0.6116461938867028,0.1356523588557245,0.4572383865700903,-0.2809720243474027,0.4636170423292296,0.6116461938867028,0.5017995812920327,-0.0719116707118209,0.7805685133465396,-0.6997292724196278,-0.8
N_bcatenin_H,0.999953001997415,0.9,0.6,0.5,-0.288135593220339,0.24644012944983823,0.8,0.5,0.6,0.6,0.9999273321827596,0.9,0.8,0.39324577861163224,0.2697737556561086,0.7,0.7989404544205105,0.6,-0.6,-0.9,-0.9,-0.6,0.9,-0.5,0.7,0.6,0.497508896797153,0.7,-0.29591836734693877,-0.8,-0.9,0.3651573013275141,0.4,0.1846938775510204,0.29534883720930233,-0.24259962049335862,0.2968253968253968,0.4,0.39148936170212767,-0.13260504201680673,0.9999082042455537,-0.7,-0.5
N_bcatenin,0.8999835397720257,0.9,0.6,0.5,-0.29357798165137616,0.26064030131826743,0.7,0.5,0.6,0.5,0.9999745125525678,0.8,0.7,0.39682539682539686,0.27784921098772647,0.6,0.7994269997661881,0.6,-0.6,-0.8,-0.8,-0.5,0.8,-0.5,0.6,0.6,0.49897134459955916,0.6,-0.2978494623655914,-0.8,-0.9,0.37835497835497833,0.4,0.21118542435424353,0.2975,-0.2575112443778111,0.2983739837398374,0.4,0.3961038961038961,-0.15944482058226134,0.899967822379535,-0.7,-0.4
Mst1_2,-0.14792858956612595,-0.2616131709395958,-0.9,-0.8,0.37402648002100314,-0.2678296205615445,-0.3439936858721389,-0.8,-0.8,-0.7,-0.2875519490368573,-0.4136572195748071,-0.6908430956312079,-0.492697611743666,-0.37192293122211845,-0.5974683544303797,-0.05156651396646352,-0.6,0.6,0.27862155388471177,0.3004930122641894,0.5,-0.1710938251685626,0.6,-0.6991778006166495,-0.8,-0.6102759347033829,-0.7991140642303434,0.4309997402619466,0.7841045566937478,0.2781294148944494,-0.33851940957834803,-0.5838373854274634,-0.11121057873378523,-0.4364761885350121,0.2542014276711663,-0.4402457970710051,-0.5838373854274634,-0.4709401900732672,0.058133819921922826,-0.16031635866222332,0.6983838383838383,0.5
miR_34,-0.8990499476968379,-0.7995945865777518,-0.8,-0.7,0.4048334650124404,-0.30665535444947206,-0.9999367138675737,-0.7,-0.7,-0.8,-0.8985929292430412,-0.8997748383786014,-0.899965057872898,-0.5256848455724261,-0.38426162453374607,-0.8,-0.8904062240330595,-0.6,0.6,0.8997604165732849,0.8998401908054581,0.7,-0.7997923715164946,0.6,-0.9,-0.8,-0.6556950539436495,-0.9,0.4422468168779308,0.7999289331082882,0.8997058637668658,-0.43154285490079713,-0.5809720492488137,-0.1807008708587901,-0.4416639087660904,0.3065172690189516,-0.4496866178313252,-0.5809720492488137,-0.5159743680747585,0.1064990450847284,-0.8982244402923023,0.7,0.7
