Source,YAP,WT1,Wee1,UbcH10,Stress_Fibers,SMAC,pRB,Plk1,pAPC,p27Kip1,p21,Myc,Mst1_2,MCL_1,Lats1_2,IAPs,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,E2F1,Cyto_C,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,Casp9,Casp8,Casp3,Casp2,BIM,BIK,BID,BCLXL,BCL2,BAX,BAK,BAD,ApicalBasal_Pol,AMOT
p21,0,0,0.46708677490199096,-0.2500303612554327,0,-0.047603537708406654,0.535636467292755,-0.4870449909840973,-0.16900977074775034,0.5378913913941645,0.40133506534733066,-0.36326561712808464,0,0.20389429909542742,0,0.04272362061743202,-0.4852462957677762,0,-0.06336597462391226,0,-0.08449820049221693,-0.047603537708406654,-0.4180482760963059,-0.6152661868083376,-0.3327657272752009,-0.4492260864094189,-0.3449392311488122,-0.43192740212674846,0.48726850024605267,-0.43682037889170583,-0.4663898071153417,-0.4401563347416307,0.17404204965667605,-0.04429582588722536,-0.028030303030303027,-0.037497114782207276,0.3890285608919253,-0.052449149147868836,-0.052449149147868836,-1.9471807715691047e-4,0.0010448549462781,0.006983921212078549,-0.050917742526770025,-0.050917742526770025,-0.02847222222222222,0,0
Myc,0,0,-0.4720935276404986,0.33377637145566164,0,0.24924847095481514,-0.5652911885277659,0.5949926356618269,0.4007291717174419,-0.557167090433405,-0.554070195362766,0.5305187094086947,0,-0.4337448532694258,0,-0.24423469685013197,0.6034451218410212,0,-0.005308120110045955,0,0.4034880452960133,0.24924847095481514,0.5679013428278836,0.6826928378920846,0.42300900642293565,0.6052161492184488,0.2514529086361799,0.5284554584953614,-0.37739273444451615,0.5382631816741276,0.5835976953193885,0.5676836440932631,-0.11566326901491615,0.26577741661315146,0.24733021183269224,0.2653329603439153,-0.4778193261376419,0.22946641174804863,0.22946641174804863,0.16967146086071794,-0.05967727135304046,-0.08826172888079656,0.25288657032561146,0.25288657032561146,0.2552239835028801,0,0
Mst1_2,-0.9,-0.8,0.4535358562372311,-0.33350491225920065,-0.7,-0.2641541955742842,0.5635615088825943,-0.5726774806962668,-0.37808426693940317,0.5519745286978676,0.5188102839947187,-0.6373745040955784,0.6,0.45032749464002625,0.6,0.24745728087373972,-0.6800927730992802,-0.8,-0.07856933104075042,0.8,-0.45204628730972757,-0.2641541955742842,-0.5603029000600404,-0.6756094583773548,-0.43797323585309017,-0.580565599561734,-0.2842688822264893,-0.49043545990310145,0.3833787482719878,-0.4992243065577645,-0.6326017099455664,-0.5554492214454798,0.14953300438599307,-0.2589082043931542,-0.17241379310344826,-0.22641379310344828,0.45559804349103183,-0.25199640368604814,-0.25199640368604814,-0.19829649269375693,0.07318701537826135,0.09835281710929464,-0.27401617800841216,-0.27401617800841216,-0.17419354838709677,0.7,0.5
MCL_1,0,0,0.5147173781110322,-0.052484824127837226,0,-0.8931367298553727,0.3983323259790989,-0.2955618161563055,-0.21221811783909877,0.3913221674529363,0.3803066194690966,-0.3515225320910902,0,0.5351909644955497,0,0.7986798679867987,0.02854272634371589,0,-0.22924881796764493,0,-0.30768347787484046,-0.8931367298553727,0.1496334979068746,-0.3592105939634656,0.05383097559227721,-0.29949669524830297,-0.15628496984365653,-0.4227400844717149,0.17611087337415268,-0.24792181132561733,0.062462462462462454,-0.11474853642561952,0.1708290554894471,-0.7992994746059544,-0.6,-0.7,-0.4528881343142803,-0.9700141585191515,-0.9700141585191515,-0.9680294741422216,0.9235102277466197,0.9393818313151725,-0.9789876865522509,-0.9789876865522509,-0.6,0,0
Lats1_2,-1,-0.9,0.48376206679200695,-0.35043124840004947,-0.8,-0.27401617800841216,0.5910754156006088,-0.6060634814019072,-0.409155060728598,0.5792292124857965,0.561836256236027,-0.6639170126170426,0.7,0.46904385169616847,0.6,0.2641541955742842,-0.7148214326058713,-0.9,-0.05932702596323466,0.9,-0.46099306902807113,-0.27401617800841216,-0.5906699679750351,-0.7092044822314523,-0.45121998358764587,-0.6181169246830479,-0.29008837985060587,-0.5297334972273325,0.4034209072557344,-0.5397923526660775,-0.6800927730992802,-0.5854559294783492,0.14604663508029728,-0.28019162685304727,-0.22641379310344828,-0.26414466381584933,0.48665790610143417,-0.2583909079088339,-0.2583909079088339,-0.19912725255631186,0.07354083499321494,0.09986062715341244,-0.28048087155304047,-0.28048087155304047,-0.23052542611635443,0.8,0.6
IAPs,0,0,0.5243735077338455,-0.09202144538103804,0,-0.5208953217653918,0.4245857014732338,-0.3291348017430763,-0.23219883770359057,0.40276277705312474,0.43824164470835514,-0.3737619473972103,0,0.5218163362933689,0,0.49400067729376496,-0.10675991054469809,0,-0.1312768267114485,0,-0.2710578250556199,-0.5208953217653918,-0.04024417927535294,-0.4019196651765721,-0.005541550712433836,-0.3413065197230634,-0.15985994316556168,-0.453026040071088,0.20656761176957858,-0.28872316282680444,-0.088586096581574,-0.20490593844458843,0.13092164585851235,-0.9219473879390071,-0.8894433966826248,-0.9702090362717939,-0.2719268628857481,-0.5012369133903846,-0.5012369133903846,-0.487365588140637,0.48404506592763064,0.5246027678231343,-0.5373187847717098,-0.5373187847717098,-0.8912033234819828,0,0
FoxM1,0,0,-0.3649994714042994,0.2535563483083913,0,0.06574045122577653,-0.18506345541229918,0.4820081471082228,0.3753153207739613,-0.32075849614704494,-0.2397157320836211,0.08095952901290274,0,-0.23539145886364615,0,-0.06429048351608854,0.3908578662066722,0,-0.3693632012818712,0,-0.06003422050809513,0.06574045122577653,0.24149283635093308,0.09355298377787209,0.3016961356918468,0.4041525830026142,0.08929958346413137,0.44023435025698143,-0.23403045788682983,0.4421685660664699,0.48742349684734776,0.4481184261961732,-0.038604960367604316,0.06907473113285863,0.06025573192239858,0.06708304115934637,-0.39146790682071186,0.06767907921568994,0.06767907921568994,0.008164225733113732,-0.022713819419549676,-0.03132644770429757,0.0664060746529728,0.0664060746529728,0.061629234252376416,0,0
FocalAdhesions,1,0.9,-0.48376206679200695,0.35043124840004947,0.9,0.27401617800841216,-0.5910754156006088,0.6060634814019072,0.409155060728598,-0.5792292124857965,-0.561836256236027,0.6639170126170426,-0.7,-0.46904385169616847,-0.6,-0.2641541955742842,0.7148214326058713,0.9,0.05932702596323466,-0.9,0.46099306902807113,0.27401617800841216,0.5906699679750351,0.7092044822314523,0.45121998358764587,0.6181169246830479,0.29008837985060587,0.5297334972273325,-0.4034209072557344,0.5397923526660775,0.6800927730992802,0.5854559294783492,-0.14604663508029728,0.28019162685304727,0.22641379310344828,0.26414466381584933,-0.48665790610143417,0.2583909079088339,0.2583909079088339,0.19912725255631186,-0.07354083499321494,-0.09986062715341244,0.28048087155304047,0.28048087155304047,0.23052542611635443,-0.8,-0.5
Emi1,0,0,-0.41793654871558583,0.21120671471599003,0,0.03312386403393773,-0.32503478481680864,0.4322572728373184,0.1560640977084693,-0.35820096463340056,-0.17251659637029984,0.07665998128035269,0,-0.14329379835662204,0,-0.03053383137370184,0.4236069531439323,0,-0.25512212863871103,0,-0.14546280752351015,0.03312386403393773,0.1778888743155844,0.07930448621147189,0.2805243618992913,0.24001167459375927,0.26199868856372577,0.3992058985032547,-0.4209146245459011,0.397604112615723,0.4177920801196911,0.3626716953995749,-0.13723354075861768,0.031215581432485796,0.020678294841868495,0.02669074921163444,-0.3554776031603938,0.038094904472844644,0.038094904472844644,-0.012823561839330727,-0.005643824867989289,-0.00980715544119946,0.03448583539590909,0.03448583539590909,0.020893682008869097,0,0
Ecadherin_mRNA_H,-0.8,-0.7,0.44836595324621625,-0.3275872576790927,-0.6,-0.2571535851885879,0.558899289090335,-0.5677526449018624,-0.3710235006010768,0.5471650696855586,0.5154659984105842,-0.6340619043941342,0.7,0.44540316901131616,0.6,0.24106104020144134,-0.675636516219228,-0.7,-0.06834955627599859,0.8,-0.45069569806398924,-0.2571535851885879,-0.5561471597692085,-0.6726272809960698,-0.4326279381073418,-0.576761473350306,-0.2756539176891647,-0.4859039393420278,0.3762653500464773,-0.49502320068999517,-0.6291684525989302,-0.5505329074623038,0.14201618197060506,-0.2531674208144797,-0.17037037037037037,-0.22237037037037038,0.45083502056406805,-0.2448337021239356,-0.2448337021239356,-0.19135675735201094,0.07016951812338837,0.09605032796824631,-0.26691712447157795,-0.26691712447157795,-0.17241379310344826,0.8,0.5
