Source,YAP,WT1,Wee1,UbcH10,TRIO,TAZ,Stress_Fibers,Rac1,pRB,Plk1,pAPC,PAK1,p27Kip1,p21,Myc,Mst1_2,Merlin,Lats1_2,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,FocalAdhesions,Emi1,Ecadherin_mRNA_H,E2F1,CyclinE,CyclinD1,CyclinB,CyclinA_mRNA,CyclinA,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,ApicalBasal_Pol,AMOT
Horizontal_Pol,0.9,0.8,-0.48011802441110685,0.35672071748700235,0.8,0.8,0.8,0.9,-0.6066005455665467,0.601607727215989,0.39921035899465185,0.8,-0.5930103790857146,-0.5481709211531041,0.7120511499778264,-0.8,-0.7,-0.8,1,0.9,0.7158717759014321,0.9,0.15114171475399701,-0.8,0.5683062253031933,0.6065668701893667,0.7342297862355991,0.4822699195364845,0.6202696148234297,0.32642855588570646,0.5110403658999527,-0.41844133612550855,0.5218477696421897,0.6557945061010458,0.5928089568605701,-0.17798442981586451,-0.9,-0.7
FoxM1,0,0,-0.3647890859164237,0.25355570857738147,0,0,0,0,-0.18458398336778367,0.4819850819460488,0.3753091833109081,0,-0.32049221259564903,-0.23966044027917724,0.0807530436270913,0,0,0,0,0,0.3908955325754115,0,-0.36951616144388094,0,-0.06013387735888929,0.24273104446369506,0.09331054709533898,0.3016975267219778,0.4041064547468478,0.08928255290052314,0.4401849912371712,-0.2340126578589202,0.442158020031785,0.48745414521998925,0.448127816245969,-0.038587378826839394,0,0
FocalAdhesions,1,0.9,-0.5007720794231896,0.36339874615055523,0.9,0.9,0.9,1,-0.6244938003836807,0.6262233211434374,0.42051684031575653,0.9,-0.609005900645718,-0.588214342240877,0.7309952449218781,-0.8,-0.8,-0.7,1,1,0.7423666610442844,0.9,0.0972531649091118,-0.9,0.5479701039022546,0.6285278814332761,0.7646503224373978,0.4780115399606573,0.6501252688218031,0.31351982659648514,0.5434885298687254,-0.4249415991384011,0.5559635453861518,0.7003713079897678,0.6122800465325419,-0.15908380979515743,-0.9,-0.7
Emi1,0,0,-0.4179480763389476,0.21120671471599003,0,0,0,0,-0.3250011928132338,0.43225833061857893,0.15606386229841787,0,-0.3581983238808908,-0.17344850312714527,0.07665178442404544,0,0,0,0,0,0.4236187353499961,0,-0.25515438650355937,0,-0.1454713912094566,0.17831006862414478,0.07930492841514396,0.2805249591471294,0.24002144342954418,0.2619971193180588,0.39921073680676533,-0.4209134798458072,0.39760381668243044,0.4177974270616141,0.36268154397045654,-0.13723140310756607,0,0
Ecadherin_mRNA_H,-0.8,-0.7,0.454295140868944,-0.33220691153134196,-0.7,-0.8,-0.7,-0.8,0.572903036343787,-0.5753657348189989,-0.37501316738234747,-0.7,0.5597376237503588,0.524862887441728,-0.6713333156223883,0.8,0.6,0.7,-0.8,-0.9,-0.6877693041758681,-0.8,-0.08788813941132068,0.8,-0.5019006207828005,-0.5732857846379897,-0.7007672354932154,-0.4442925420617444,-0.5911026929369011,-0.28542511881960636,-0.49041393773402664,0.3846545181134926,-0.5006344242565921,-0.6369040636798877,-0.5617685771608347,0.14756982967980742,0.9,0.6
E2F1,0,0,-0.4736035855287474,0.3028623867957109,0,0,0,0,-0.539565535504148,0.5925133061134262,0.30139787151928227,0,-0.5425029362966128,-0.6060647765045899,0.5649920433153989,0,0,0,0,0,0.59232821853305,0,0.11541363569416793,0,0.29798942431713416,0.6219229441037422,0.6206563329588699,0.3345274683200679,0.6625732245950375,0.34948745134321335,0.43780904733915554,-0.4844875418394274,0.5428051099741411,0.5737383958037636,0.6474182563943915,-0.17704279721239416,0,0
CyclinE,0,0,-0.4429311606587921,0.3129352683427271,0,0,0,0,-0.6150477570560331,0.5634599583267785,0.38789012934059086,0,-0.5161401513132768,-0.600795280435581,0.46075598603416995,0,0,0,0,0,0.6686576040824257,0,-0.07161955880418779,0,0.2077768423359086,0.5142998948760653,0.5157708074869994,0.3941376764034553,0.5583337504353959,0.31252609228133876,0.505533675881722,-0.44533337844660437,0.5125168604018457,0.653033686096068,0.6275253166539788,-0.06098535496021579,0,0
CyclinD1,0,0,-0.4902460819098672,0.32046962656435735,0,0,0,0,-0.7688131207608689,0.6072333059987914,0.2915616202100886,0,-0.7672375266766893,-0.6206514292708382,0.5992257329251425,0,0,0,0,0,0.6072598449305893,0,0.18223958612637658,0,0.3505527277548196,0.648556201208055,0.7505443499044588,0.3672191208561487,0.6803842068444959,0.39295755839402907,0.4416889535709723,-0.5127459391415464,0.547572773294223,0.5744282053122455,0.669282035216302,-0.21647904811116803,0,0
CyclinB,0,0,-0.3464289197500368,0.21615604918496384,0,0,0,0,-0.1714422925020796,0.366313145281687,0.3540367675096619,0,-0.31121279474446145,-0.2906193596286269,0.17564574386461934,0,0,0,0,0,0.3776563870614244,0,-0.3615461078844012,0,0.08318232490804936,0.29227925612937355,0.2047608881865791,0.19006301982457985,0.3368157294200721,-0.04616994027664627,0.42766189316520775,-0.22314499833534174,0.428493118224955,0.37607924873059784,0.3445360016855662,-0.029229035892595595,0,0
CyclinA_mRNA,0,0,-0.4353286205648187,0.28898534701333545,0,0,0,0,-0.3165493564270186,0.4387047756840289,0.24123573586849206,0,-0.3600420691758263,-0.1584279135183571,0.08090351901361478,0,0,0,0,0,0.424541158573402,0,-0.21351194265273232,0,-0.12063173663602658,0.16386509281013173,0.08126534197433705,0.22724398666980247,0.22645912944419302,0.272314663597263,0.4297707346029642,-0.3316202528620952,0.4207588097540754,0.417898472853181,0.34747353506610323,-0.08954213295860428,0,0
CyclinA,0,0,-0.43839353987733254,0.2903489990919047,0,0,0,0,-0.3186640879435897,0.4423572919468601,0.2461388353497634,0,-0.36236629708577284,-0.16386509281013173,0.08401011392620629,0,0,0,0,0,0.4284936575462453,0,-0.21605101496895918,0,-0.11871622230573527,0.16730692676618264,0.08535178975080049,0.22726559369895036,0.23151103796970215,0.17196175184005763,0.43476952827240345,-0.33313496184650193,0.4258722690647373,0.424541158573402,0.350614167565148,-0.08784960367213247,0,0
Cdk1,0,0,-0.3519839213342135,0.06779672172544847,0,0,0,0,-0.1944780192566433,0.3693642026591719,0.34154503226971245,0,-0.3178242527716286,-0.2943848121357745,0.1770026686458735,0,0,0,0,0,0.38318768401314396,0,-0.3514761677136593,0,0.059688816439994505,0.2962762062635049,0.2092618760576354,0.07281803656272047,0.34096628219263253,-0.006525409968938377,0.41852588019838866,-0.21434106822840934,0.4220833830657599,0.3813037109405685,0.3484198572965251,-0.007837286857266732,0,0
Cdh1,0,0,0.2404433042685216,-0.286459455836789,0,0,0,0,0.1806815148595134,-0.369940910196784,-0.27812320759211984,0,0.18622337457131782,0.11407890447465323,-0.05120444209374333,0,0,0,0,0,-0.26522929078827495,0,0.2430992764600906,0,0.07649506848359541,-0.1152653620587946,-0.05521344873801702,-0.14968823482502894,-0.18024470942562001,-0.095931043583286,-0.3147804579920733,0.15889097053233264,-0.31344643226422464,-0.26409133311516414,-0.33327562774469355,-0.07716234548137689,0,0
Cdc25C,0,0,-0.35065269063379495,0.06719981475670392,0,0,0,0,-0.19327973285804578,0.3676773870746451,0.33919534907316873,0,-0.31673262805567937,-0.29124826405042814,0.17510263114513333,0,0,0,0,0,0.3813037109405685,0,-0.3504979313559934,0,0.058551862178040245,0.2943848121357745,0.20664613320407071,0.07299825276158223,0.33826578354010506,-0.006388357661669668,0.5163530006435914,-0.21366870129873825,0.4197851150995091,0.3779632770155192,0.34689842632522777,-0.008757987542685416,0,0
