68	1	10.010938	6.967551	6.293570	1.716820	-0.484841	0.231482	6.124053	3.858726	4.915994	-6.553638	2.789106	8.550518	1.257834	6.423376
69	1	-12.209775	-0.586276	0.453980	7.154395	6.822100	6.284513	3.158168	1.210363	-7.299146	5.888394	6.733417	2.454040	7.714988	3.187027
70	1	-3.981475	-2.413846	1.553253	8.396770	0.136298	-2.477487	-0.999874	2.923592	-6.822784	6.149505	3.133289	3.837618	5.853707	2.348478
71	1	-6.980891	1.152158	-2.537831	7.587524	4.107543	6.061898	0.946779	-2.176284	-9.942894	4.401912	4.359694	4.567174	6.825722	2.040586
75	1	8.250067	9.538903	8.599232	1.482454	-3.821081	4.613738	7.092811	6.513710	7.785766	-4.544384	0.206145	6.691518	3.462879	6.447086
76	1	8.369366	4.302860	4.882114	1.366938	-1.382818	-3.779984	6.222684	5.911605	5.567647	-2.595365	2.934769	4.629597	6.952306	3.388955
78	1	-6.114203	4.561028	3.988548	6.617816	7.207595	7.694890	0.122635	-0.648741	-9.078268	5.965745	6.474204	1.528401	6.543315	5.435301
80	1	7.121946	8.092230	5.491966	2.151231	0.436440	0.330899	7.587279	6.961651	7.044022	-2.639445	-3.263817	6.515136	4.689872	5.504189
82	1	-12.154435	-3.020931	2.162120	6.592257	7.618290	8.415566	-1.497701	0.007883	-6.682632	7.648166	7.158262	6.394561	3.997804	1.370327
84	1	8.498945	7.240507	7.547721	2.902653	0.711458	3.346157	7.196350	4.304035	5.547121	-4.213409	-1.111188	7.858836	-1.043777	6.290288
85	1	-20.125159	1.712277	1.507652	6.049464	6.456472	7.506100	2.271440	-0.981441	-5.509033	5.970399	6.483617	0.943664	7.892650	1.378534
87	1	9.096509	6.477769	5.980098	3.026048	0.301659	1.166843	7.032308	7.398678	6.115753	-0.076125	0.007773	5.948052	4.647906	7.863182
88	1	11.549602	7.158852	6.839083	4.173265	1.590413	1.478564	6.330552	7.615174	3.559594	-1.354128	-0.780262	1.595403	5.840012	7.890882
90	1	-6.528544	-0.799702	-0.302820	6.037266	5.693526	6.141732	2.256680	-0.243877	-10.481865	4.156711	6.394362	3.725932	4.832717	5.514438
93	1	-6.721792	-1.206137	1.400852	7.053887	6.074811	3.954084	-3.326301	0.926185	-2.675838	9.338693	5.398070	6.750462	3.563406	1.442997
