49	2	10.437845	6.763551	6.166490	2.442079	-0.233926	3.810274	6.706617	4.762156	5.275145	1.026748	0.337887	4.531414	3.894723	6.202981	-5.025358	0.549274	4.087931	5.013628	4.180556	6.918075	4.491065	-1.789670	-1.481974	8.312453	3.954217	3.725951	4.817586	6.175365
51	2	9.364793	5.356851	8.122351	2.171917	-2.099687	2.007174	7.549329	7.449299	7.910807	-6.808087	0.428358	8.753947	0.749199	6.525911	-10.857861	0.118306	1.511169	6.252172	2.164679	5.225483	0.911327	1.575880	-4.893786	5.401790	6.487977	3.622103	5.997775	3.804398
53	2	9.901882	8.821760	6.472676	1.259930	0.868907	1.833579	7.369126	7.242510	7.589184	-3.904521	-0.143167	5.482677	2.646496	7.035060	-14.686930	3.290553	0.646311	7.348845	6.011790	6.207844	1.018133	1.730361	-3.431921	5.691165	4.903786	0.250443	3.128452	0.452397
54	2	1.910468	6.997865	5.702688	3.057654	7.398577	6.019763	6.856733	7.713164	-1.152284	2.097116	7.612029	5.405091	4.752570	8.738494	-10.047032	0.996212	0.420260	7.053996	7.401187	6.019764	2.720352	2.404280	-10.470476	4.372295	8.130470	0.722428	8.082630	3.706985
59	2	2.284260	6.009691	7.712228	7.192758	2.121846	0.359574	8.343525	5.484982	4.453483	4.216024	4.531258	5.098649	3.565805	1.456929	-7.976908	-0.332793	1.966553	7.253025	2.122557	0.359574	3.617483	-0.858974	1.360872	7.310471	4.536128	-0.268137	5.690861	1.395572
60	2	10.996932	7.794252	6.341275	1.795594	1.399877	1.290610	6.363936	6.936051	3.849762	-3.834296	2.964806	3.537569	3.815521	6.429849	-8.456035	2.316563	3.712960	6.664799	7.837999	5.993929	0.708090	2.413576	-10.096588	3.589996	6.257960	-3.013456	4.264014	3.246871
62	2	-8.770991	-0.014534	-1.665462	7.143606	7.409399	0.418165	-2.351330	2.822223	-5.609208	6.682672	6.431842	4.495778	7.584006	1.439764	6.708092	6.252425	3.909212	2.558219	1.371680	-6.013668	4.111744	6.432023	1.789699	-5.031418	1.637554	8.726660	5.179699	6.843354
64	2	10.507286	7.201022	7.196859	0.512622	2.897949	2.187191	6.574918	2.074171	7.504668	1.637459	-0.056430	6.868835	-3.587662	6.713853	-4.192887	2.246852	1.094481	6.533136	5.915940	6.032231	5.249876	-3.952509	-3.240223	7.135186	5.061956	0.547619	2.465081	4.908203
67	2	10.464592	7.819856	4.588863	2.466631	2.725081	0.062408	0.759542	7.893237	5.227457	-0.804553	1.368574	6.303711	5.690163	8.177030	-0.654880	5.747617	3.851697	7.602138	6.885903	6.021091	-0.505582	4.880537	-1.136284	6.265053	6.453170	2.435416	7.029865	4.501775
72	2	9.554949	6.755548	6.682963	1.113992	2.287334	5.839672	7.481474	5.844918	3.163188	-3.379416	1.983742	4.897025	6.353605	7.909679	-2.518599	2.396549	2.258413	6.954826	5.533003	6.974357	1.949237	0.047683	-6.013265	1.935950	6.846961	1.085239	6.669113	6.278369
73	2	-10.209112	-0.147271	3.186910	6.303052	6.778742	7.920681	0.348702	-2.856116	-12.032016	2.992508	4.854544	0.181759	6.023487	1.121668	9.152121	6.163714	7.385403	1.286543	0.540206	2.952112	6.211872	3.681846	4.320345	-3.336852	-0.783259	4.474545	5.877879	4.990781
74	2	5.497380	6.009166	6.415100	0.155542	5.265712	3.156738	6.305703	6.181936	6.286153	-4.713572	1.320020	6.720885	2.516879	7.268230	-5.852031	0.411310	3.865349	6.582767	7.824794	3.302107	2.224804	0.657264	-8.108973	4.486996	7.326782	4.167712	8.206158	5.117279
