l_max,network_name,modA,modB,T_network,T_AS_intra,T_AS→C,T_C→AS,T_C_intra,T_AS→E,T_E→AS,T_E_intra,T_AS→M,T_M→AS,T_M_intra,T_AS→PS,T_PS→AS,T_PS_intra,T_AS→RS,T_RS→AS,T_RS_intra,T_C→M,T_M→C,T_C→PS,T_PS→C,T_C→RS,T_RS→C,T_E→C,T_C→E,T_E→M,T_M→E,T_E→PS,T_PS→E,T_E→RS,T_RS→E,T_M→PS,T_PS→M,T_M→RS,T_RS→M,T_PS→RS,T_RS→PS
6,Comb_E_M,E,M,0.3382272859965867,,,,,,,0.5744492724333063,,,0.27357012934519,,,,,,,,,,,,,,,0.16784559417946646,0.06849358326596604,,,,,,,,,,
7,Comb_E_M,E,M,0.3383037031691045,,,,,,,0.5744984122401848,,,0.2736540127020785,,,,,,,,,,,,,,,0.16794168591224018,0.06860114751732102,,,,,,,,,,
8,Comb_E_M,E,M,0.3383132540747904,,,,,,,0.5745045539181017,,,0.2736644967595733,,,,,,,,,,,,,,,0.16795369581847835,0.0686145913020886,,,,,,,,,,
9,Comb_E_M,E,M,0.338314315269514,,,,,,,0.5745052363158148,,,0.2736656616361683,,,,,,,,,,,,,,,0.16795503023110353,0.06861608503199525,,,,,,,,,,
10,Comb_E_M,E,M,0.33831442138879914,,,,,,,0.5745053045554658,,,0.2736657781236223,,,,,,,,,,,,,,,0.16795516367213065,0.06861623440472239,,,,,,,,,,
4,Comb_E_PS,E,PS,0.44539002115613313,,,,,,,0.5720274390243901,,,,,,0.11291073652083754,,,,,,,,,,,,,,0.0,0.03884690227910108,,,,,,,,
5,Comb_E_PS,E,PS,0.4309747612572724,,,,,,,0.5741049757281552,,,,,,0.11280820754120441,,,,,,,,,,,,,,0.0,0.028593258907027335,,,,,,,,
6,Comb_E_PS,E,PS,0.4239296449890624,,,,,,,0.5744492724333063,,,,,,0.1127645704938338,,,,,,,,,,,,,,0.0,0.02421457332507468,,,,,,,,
7,Comb_E_PS,E,PS,0.4216493398971438,,,,,,,0.5744984122401848,,,,,,0.11275554607630385,,,,,,,,,,,,,,0.0,0.022917081945824196,,,,,,,,
8,Comb_E_PS,E,PS,0.4214113980920925,,,,,,,0.5745045539181017,,,,,,0.11275418889671157,,,,,,,,,,,,,,0.0,0.022772160994665037,,,,,,,,
9,Comb_E_PS,E,PS,0.4214116373238073,,,,,,,0.5745052363158148,,,,,,0.11275402241247529,,,,,,,,,,,,,,0.0,0.022772242853148113,,,,,,,,
10,Comb_E_PS,E,PS,0.4214116587544759,,,,,,,0.5745053045554658,,,,,,0.11275400488198802,,,,,,,,,,,,,,0.0,0.022772246836891902,,,,,,,,
4,Comb_E_RS,E,RS,0.4835112768854356,,,,,,,0.5720274390243901,,,,,,,,,0.14795918367346933,,,,,,,,,,,,,0.0,0.08071613346003591,,,,,,
5,Comb_E_RS,E,RS,0.4716768221199676,,,,,,,0.5741049757281552,,,,,,,,,0.1484545274420447,,,,,,,,,,,,,0.0,0.06825885197828807,,,,,,
6,Comb_E_RS,E,RS,0.46871102829321454,,,,,,,0.5744492724333065,,,,,,,,,0.14853661755728972,,,,,,,,,,,,,0.0,0.0660391424417307,,,,,,
7,Comb_E_RS,E,RS,0.4687563416971495,,,,,,,0.5744984122401848,,,,,,,,,0.14854833388320693,,,,,,,,,,,,,0.0,0.06605351566502111,,,,,,
8,Comb_E_RS,E,RS,0.4687618936873868,,,,,,,0.5745045539181017,,,,,,,,,0.1485497982336943,,,,,,,,,,,,,0.0,0.06605506205660594,,,,,,
9,Comb_E_RS,E,RS,0.4687625019727822,,,,,,,0.574505236315815,,,,,,,,,0.14854996093669462,,,,,,,,,,,,,0.0,0.06605521486026315,,,,,,
10,Comb_E_RS,E,RS,0.46876256215137674,,,,,,,0.5745053045554658,,,,,,,,,0.1485499772069659,,,,,,,,,,,,,0.0,0.06605522871189061,,,,,,
4,Comb_M_PS,M,PS,0.43429764025537765,,,,,,,,,,0.08658536585365853,,,0.43953365187236426,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
5,Comb_M_PS,M,PS,0.4341409956656319,,,,,,,,,,0.08703883495145631,,,0.43909989667684485,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
6,Comb_M_PS,M,PS,0.43402977496859807,,,,,,,,,,0.08713823767178658,,,0.43892655785870527,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
7,Comb_M_PS,M,PS,0.43400491568612887,,,,,,,,,,0.08715473441108544,,,0.43889108697920604,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
8,Comb_M_PS,M,PS,0.4340010457148946,,,,,,,,,,0.08715694057533811,,,0.43888578067140427,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
9,Comb_M_PS,M,PS,0.43400056612940485,,,,,,,,,,0.08715720173848891,,,0.4388851311875568,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
10,Comb_M_PS,M,PS,0.4340005149896575,,,,,,,,,,0.08715722785475793,,,0.4388850628855593,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
4,Comb_M_RS,M,RS,0.5590028694404591,,,,,,,,,,0.08658536585365853,,,,,,0.5755420054200542,,,,,,,,,,,,,,,,,0.0,0.0,,
5,Comb_M_RS,M,RS,0.5608937749857225,,,,,,,,,,0.08703883495145631,,,,,,0.5776024811218986,,,,,,,,,,,,,,,,,0.0,0.0,,
6,Comb_M_RS,M,RS,0.5612249750344762,,,,,,,,,,0.08713823767178656,,,,,,0.5779439504176771,,,,,,,,,,,,,,,,,0.0,0.0,,
7,Comb_M_RS,M,RS,0.5612739437576416,,,,,,,,,,0.08715473441108544,,,,,,0.5779926866820632,,,,,,,,,,,,,,,,,0.0,0.0,,
