39	4	5.541751	3.951624	2.163509	-7.067106	2.196218	0.144729	-6.483440	4.640964	5.299460	6.963211	-0.542195	-3.832541	-8.286625	5.541751	3.951624	2.163509	-7.067106	2.196218	0.144729	6.596875	-1.051773	-5.459230	-11.503969	10.812699	6.980975	7.986205	5.541751	3.951624	2.163509	-7.067106	2.196218	0.144729	0.719073	4.226194	0.282846	-5.889764	4.482761	0.831240	-1.758538	5.541751	3.951624	2.163509	-7.067106	2.196218	0.144729	-6.825381	4.640973	5.757393	6.984769	-4.206626	-3.832543	-8.286884
42	4	5.492577	3.847182	7.402373	6.449497	5.213073	3.251277	4.961153	1.332773	-6.384734	-7.178347	10.397365	5.266971	6.668181	5.492577	3.847182	7.402373	6.449497	5.213073	3.251277	-5.605257	4.730426	5.339797	9.203918	-6.166658	-2.337836	-3.010660	-0.802594	4.913878	1.508539	-1.031399	-3.929162	-4.361428	4.961153	1.332773	-6.384734	-7.178343	10.397365	5.266971	6.668181	-0.802594	4.913878	1.508539	-1.031399	-3.929162	-4.361428	-5.605257	4.730426	5.339797	9.203918	-6.166658	-2.337836	-3.010660
44	4	0.546453	6.270922	6.779797	6.719814	2.738700	4.162771	-6.407606	6.731076	6.023207	9.366253	-15.679613	-3.737499	-12.594209	0.546453	6.270922	6.779797	6.719814	2.738700	4.162771	7.905200	1.777667	-1.923920	-6.693800	9.181668	6.751694	6.360431	-2.798128	6.272367	0.373292	-4.123984	-1.245212	-4.251837	-6.407606	6.731076	6.023207	9.366253	-15.679613	-3.737499	-12.594209	-2.798128	6.272367	0.373292	-4.123984	-1.245212	-4.251837	7.905200	1.777667	-1.923920	-6.693800	9.181668	6.751694	6.360431
45	4	6.748530	5.385625	1.467962	1.353962	5.025653	0.222397	7.314187	2.448914	-3.130831	-8.363551	8.839916	6.918842	4.811157	6.748530	5.385625	1.467962	1.353962	5.025653	0.222397	5.105733	4.145016	3.428869	2.446707	-11.492740	-2.830279	-6.849268	6.792653	5.354032	6.755470	4.879623	7.175872	5.815546	7.314187	2.448915	-3.130830	-8.363551	8.839916	6.918842	4.811157	6.792653	5.354032	6.755470	4.879623	7.175872	5.815546	5.105733	4.145016	3.428869	2.446707	-11.492740	-2.830279	-6.849268
49	4	0.244754	6.915350	6.055211	4.399185	2.449935	0.798992	8.464686	1.529188	-4.709347	-4.296866	9.038948	5.858694	6.584669	0.244754	6.915350	6.055211	4.399185	2.449935	0.798992	-8.513544	6.693130	5.569125	8.274035	-11.011673	-5.747366	-10.927825	-1.791520	6.976556	-0.529207	-3.160847	-1.323406	-5.369266	-8.513588	6.693130	5.569125	8.274035	-11.011673	-5.747366	-10.927825	-1.791520	6.976556	-0.529207	-3.160847	-1.323406	-5.369266	8.464686	1.529188	-4.709347	-4.296866	9.038948	5.858694	6.584669
60	4	3.788064	5.923959	1.557687	-6.177664	-2.045822	-2.202352	-8.934381	6.903577	7.955127	6.499844	-6.468750	-3.844739	-7.302981	7.346566	0.498716	6.690237	2.293013	7.466627	4.271715	0.232954	6.791891	0.309463	-0.736122	7.736482	5.888030	5.881247	7.346566	0.498716	6.690237	2.293013	7.466627	4.271715	-8.934381	6.903577	7.955127	6.499844	-6.468750	-3.844739	-7.302981	3.788064	5.923959	1.557687	-6.177664	-2.045822	-2.202352	0.232954	6.791891	0.309463	-0.736122	7.736482	5.888030	5.881247
61	4	1.100287	7.202719	3.449758	-1.683787	-4.875932	-3.269588	5.191757	0.019773	-1.298114	-9.471265	8.830566	7.150930	5.888553	7.256454	5.654844	6.774331	3.914144	0.868168	3.074444	-7.217589	4.314882	5.680205	5.496699	-14.561033	-4.901149	-4.867038	7.256454	5.654844	6.774331	3.914144	0.868168	3.074444	5.191757	0.019773	-1.298114	-9.471265	8.830566	7.150930	5.888553	1.100287	7.202719	3.449758	-1.683787	-4.875932	-3.269588	-7.217589	4.314882	5.680205	5.496699	-14.561033	-4.901149	-4.867038
64	4	7.957399	3.126837	7.095155	7.687030	5.171385	7.515451	-3.436479	7.366462	5.273208	8.410346	-12.706630	-4.608449	-10.982024	7.957399	3.126837	7.095155	7.687030	5.171385	7.515451	7.304778	1.686842	-6.346610	-7.923080	10.570944	5.819045	3.928644	3.337641	6.969766	3.497945	-2.106170	-3.775679	6.481622	-3.436479	7.366462	5.273208	8.410346	-12.706630	-4.608449	-10.982024	3.337641	6.969766	3.497945	-2.106170	-3.775679	6.481622	7.304778	1.686842	-6.346615	-7.923080	10.570944	5.819045	3.928644
68	4	4.378574	5.824490	-1.925201	-1.677892	-7.596991	1.230910	6.418734	0.412848	-3.714675	-11.788074	11.075550	7.583005	8.048433	4.378574	5.824490	-1.925201	-1.677892	-7.596991	1.230908	-7.691104	6.856712	5.692389	6.686162	-10.467319	-4.668916	-8.949497	7.420712	0.549551	3.114894	4.681795	3.160947	6.353499	-7.691104	6.856712	5.692389	6.686162	-10.467319	-4.668916	-8.949497	7.420712	0.549551	3.114894	4.681795	3.160947	6.353499	6.418734	0.412848	-3.714675	-11.787417	11.075550	7.583005	8.048433
71	4	1.386648	6.232110	1.256282	-6.583400	-1.761664	-4.619892	6.339298	2.054506	-2.582308	-9.509357	9.414378	6.332209	6.465205	6.455590	1.510151	6.276628	4.925746	6.788545	2.339888	-0.498701	7.592530	7.552935	1.807346	-8.873143	-4.769149	-7.150731	1.386648	6.232110	1.256282	-6.583392	-1.761627	-4.619899	-0.498701	7.592530	7.552935	1.807346	-8.873143	-4.769149	-7.150731	6.455590	1.510151	6.276628	4.925746	6.788545	2.339888	6.339298	2.054506	-2.582308	-9.509357	9.414378	6.332209	6.465205
