70	2	4.045737	4.383505	6.402576	5.227040	1.658547	3.983795	-10.862788	6.185708	7.567148	6.340070	-12.347174	-5.802694	-11.207816	4.045737	4.383505	6.402576	5.227039	1.658547	3.983795	4.815593	0.104066	-0.915588	-9.905458	8.420943	6.232298	2.241462
72	2	1.043014	6.576890	0.125871	-1.985454	-5.336964	1.723874	-12.637081	5.954494	6.302679	4.623478	-12.087088	-7.132441	-11.132259	1.043014	6.576890	0.125871	-1.985456	-5.336965	1.723874	6.256990	0.635470	-4.200183	-6.763696	7.933402	4.193003	4.865689
74	2	3.453592	7.709420	4.385457	3.343394	-0.139200	-2.183959	-5.325313	5.812922	3.356244	6.932365	-9.981434	-6.073356	-9.764035	3.453592	7.709420	4.385457	3.343394	-0.139200	-2.183959	7.421118	2.713836	-4.934957	-6.852775	7.015743	5.968738	6.081099
76	2	0.327678	6.495699	2.484241	0.322731	-3.019897	-1.116896	7.771178	-0.915979	-4.140652	-8.143553	9.301978	6.690040	6.899597	0.327678	6.495699	2.484241	0.322731	-3.019897	-1.116896	-9.679811	5.684947	7.480245	6.612839	-12.508310	-1.970652	-8.391703
80	2	6.406629	2.429681	6.174618	5.992652	6.684273	6.739440	9.320628	-1.427360	-5.244018	-12.356225	10.499831	6.594641	6.366736	6.406629	2.429681	6.174618	5.992652	6.684273	6.739440	-9.099006	4.064949	6.283763	4.494669	-13.095696	-2.210059	-9.980080
81	2	2.805499	7.457383	-0.488474	-2.469422	-0.197478	-2.136301	6.933021	-0.024679	-6.868237	-14.614782	10.348559	6.398360	8.691663	2.805499	7.457383	-0.488474	-2.469422	-0.197478	-2.136301	-4.277696	6.199514	5.847262	1.313148	-3.386745	5.639265	5.551776
91	2	-1.848898	6.028612	1.335147	-6.978193	-4.265827	-4.250552	-10.862612	5.872048	7.224582	6.169652	-19.817894	-3.329620	-10.476591	-1.848898	6.028612	1.335147	-6.978193	-4.265827	-4.250557	3.643568	3.702135	1.924312	-4.149755	9.486712	4.970121	6.899992
93	2	-1.348312	0.914919	1.476130	-6.670485	0.707825	1.136573	-10.188185	4.831178	7.559124	6.475134	-17.658396	-0.702758	-10.307658	-1.348312	0.914919	1.476130	-6.670485	0.707825	1.136573	7.729529	-1.567506	-1.203070	-12.666660	9.467163	8.496214	5.933996
96	2	6.976365	-0.093785	6.815165	4.347756	5.882123	5.121403	-7.855198	2.983805	5.639139	6.851891	-8.393689	-7.575421	-7.222616	6.976365	-0.093785	6.815165	4.347756	5.882123	5.121403	7.723716	-0.243755	-7.222508	-2.488589	7.110371	1.563187	3.337458
97	2	0.127093	6.492235	0.162762	-7.372791	-4.967323	-5.656201	7.508099	3.157294	-1.787369	-7.391306	7.851361	3.559259	7.180178	0.127093	6.492235	0.162762	-7.372791	-4.967323	-5.656201	-3.653169	6.975417	6.646042	7.919503	-16.949098	-4.714233	-7.081114
