network_name,p_s_type,p_s_formula,l_max,network_p_s
Comb_RS_RS,top60,state_based,2,-2.0
Comb_RS_RS,top60,influence_weighted,2,7.444444444444444
Single_AS,dominant,state_based,2,2.0
Single_AS,dominant,influence_weighted,2,9.944444444444443
Single_AS,top30,state_based,2,2.0
Single_AS,top30,influence_weighted,2,9.944444444444443
Single_AS,top60,state_based,2,0.007798604460254493
Single_AS,top60,influence_weighted,2,9.944444444444441
Single_C,dominant,state_based,2,-2.0
Single_C,dominant,influence_weighted,2,4.1
Single_C,top30,state_based,2,-2.0
Single_C,top30,influence_weighted,2,4.1
Single_C,top60,state_based,2,-2.0
Single_C,top60,influence_weighted,2,4.1
Single_E,dominant,state_based,2,-2.0
Single_E,dominant,influence_weighted,2,9.916666666666666
Single_E,top30,state_based,2,-2.0
Single_E,top30,influence_weighted,2,9.916666666666666
Single_E,top60,state_based,2,-2.0
Single_E,top60,influence_weighted,2,9.916666666666666
Single_M,dominant,state_based,2,2.0
Single_M,dominant,influence_weighted,2,3.0
Single_M,top30,state_based,2,2.0
Single_M,top30,influence_weighted,2,3.0
Single_M,top60,state_based,2,2.0
Single_M,top60,influence_weighted,2,3.0
Single_PS,dominant,state_based,2,-1.3333333333333333
Single_PS,dominant,influence_weighted,2,9.61604938271605
Single_PS,top30,state_based,2,-1.3333333333333333
Single_PS,top30,influence_weighted,2,9.61604938271605
Single_PS,top60,state_based,2,-0.0005879493006795252
Single_PS,top60,influence_weighted,2,9.61604938271605
Single_RS,dominant,state_based,2,2.0
Single_RS,dominant,influence_weighted,2,7.444444444444444
Single_RS,top30,state_based,2,2.0
Single_RS,top30,influence_weighted,2,7.444444444444445
Single_RS,top60,state_based,2,2.0
Single_RS,top60,influence_weighted,2,7.444444444444445
